Year,Region,Crop,Area_hectares,Yield_t_per_ha
2004,Est,Wheat,1593064,7.685
2004,Nord,Wheat,910320,8.934
2004,Ouest,Wheat,1232324,7.197
2004,Sud,Wheat,556068,6.018
2005,Est,Wheat,1755341,7.109
2005,Nord,Wheat,1293216,8.086
2005,Ouest,Wheat,1255370,6.935
2005,Sud,Wheat,537261,5.781
2006,Est,Wheat,1725825,6.798
2006,Nord,Wheat,1273889,7.902
2006,Ouest,Wheat,1219300,6.711
2006,Sud,Wheat,559549,5.682
2007,Est,Wheat,1723956,6.534
2007,Nord,Wheat,1276736,7.522
2007,Ouest,Wheat,895433,5.885
2007,Sud,Wheat,556582,4.957
2008,Est,Wheat,1787992,6.915
2008,Nord,Wheat,869341,8.655
2008,Ouest,Wheat,1300523,6.967
2008,Sud,Wheat,612168,5.542
2009,Est,Wheat,1694414,7.508
2009,Nord,Wheat,821668,8.974
2009,Ouest,Wheat,1218023,7.275
2009,Sud,Wheat,507743,5.373
2010,Est,Wheat,1764088,7.072
2010,Nord,Wheat,1296222,8.5
2010,Ouest,Wheat,1248366,6.753
2010,Sud,Wheat,589826,6.041
2011,Est,Wheat,1761160,6.668
2011,Nord,Wheat,1359535,8.236
2011,Ouest,Wheat,1064740,6.599
2011,Sud,Wheat,536835,5.099
2012,Est,Wheat,1587530,7.015
2012,Nord,Wheat,1353095,8.261
2012,Ouest,Wheat,1296270,7.185
2012,Sud,Wheat,623738,6.214
2013,Est,Wheat,1761870,7.166
2013,Nord,Wheat,1334410,8.871
2013,Ouest,Wheat,1225550,7.046
2013,Sud,Wheat,661331,5.698
2014,Est,Wheat,1480575,7.14
2014,Nord,Wheat,1360681,8.804
2014,Ouest,Wheat,1309438,7.216
2014,Sud,Wheat,649594,5.549
2015,Est,Wheat,1581435,7.644
2015,Nord,Wheat,559730,9.087
2015,Ouest,Wheat,1323634,7.574
2015,Sud,Wheat,668542,5.706
2016,Est,Wheat,87934,4.865
2016,Ouest,Wheat,1056738,6.156
2016,Sud,Wheat,618033,5.578
2004,Est,Winter_Barley,513575,7.318
2004,Nord,Winter_Barley,182194,8.221
2004,Ouest,Winter_Barley,175715,6.57
2004,Sud,Winter_Barley,168143,5.307
2005,Est,Winter_Barley,525004,6.979
2005,Nord,Winter_Barley,168643,7.906
2005,Ouest,Winter_Barley,185927,6.487
2005,Sud,Winter_Barley,173679,5.205
2006,Est,Winter_Barley,570215,6.696
2006,Nord,Winter_Barley,197038,7.409
2006,Ouest,Winter_Barley,213213,6.23
2006,Sud,Winter_Barley,190577,5.113
2007,Est,Winter_Barley,574400,5.917
2007,Nord,Winter_Barley,188125,7.142
2007,Ouest,Winter_Barley,156526,5.316
2007,Sud,Winter_Barley,196686,4.474
2008,Est,Winter_Barley,572643,6.725
2008,Nord,Winter_Barley,101086,8.123
2008,Ouest,Winter_Barley,228189,6.574
2008,Sud,Winter_Barley,199257,5.168
2009,Est,Winter_Barley,650142,6.905
2009,Nord,Winter_Barley,160281,8.208
2009,Ouest,Winter_Barley,244346,6.781
2009,Sud,Winter_Barley,189978,4.966
2010,Est,Winter_Barley,567577,6.563
2010,Nord,Winter_Barley,196347,7.891
2010,Ouest,Winter_Barley,213555,6.134
2010,Sud,Winter_Barley,176066,5.211
2011,Est,Winter_Barley,540130,6.036
2011,Nord,Winter_Barley,164344,7.529
2011,Ouest,Winter_Barley,190424,5.862
2011,Sud,Winter_Barley,134116,4.406
2012,Est,Winter_Barley,443650,6.723
2012,Nord,Winter_Barley,176215,8.079
2012,Ouest,Winter_Barley,207411,6.934
2012,Sud,Winter_Barley,166518,5.537
2013,Est,Winter_Barley,567385,6.279
2013,Nord,Winter_Barley,171683,7.897
2013,Ouest,Winter_Barley,216475,6.651
2013,Sud,Winter_Barley,184442,5.125
2014,Est,Winter_Barley,584845,6.926
2014,Nord,Winter_Barley,196313,8.304
2014,Ouest,Winter_Barley,260004,6.934
2014,Sud,Winter_Barley,191931,5.219
2015,Est,Winter_Barley,508291,7.293
2015,Nord,Winter_Barley,68710,8.545
2015,Ouest,Winter_Barley,298062,7.194
2015,Sud,Winter_Barley,207390,5.331
2016,Est,Winter_Barley,372785,5.506
2016,Nord,Winter_Barley,59810,6.337
2016,Ouest,Winter_Barley,325846,6.049
2016,Sud,Winter_Barley,221294,5.159
2004,Est,Spring_Barley,373532,6.415
2004,Nord,Spring_Barley,124511,7.129
2004,Ouest,Spring_Barley,54563,5.39
2004,Sud,Spring_Barley,35551,3.642
2005,Est,Spring_Barley,348809,5.965
2005,Nord,Spring_Barley,107984,6.465
2005,Ouest,Spring_Barley,50501,5.406
2005,Sud,Spring_Barley,38838,3.335
2006,Est,Spring_Barley,311476,5.809
2006,Nord,Spring_Barley,107874,6.35
2006,Ouest,Spring_Barley,41534,4.694
2006,Sud,Spring_Barley,30374,3.196
2007,Est,Spring_Barley,331865,5.208
2007,Nord,Spring_Barley,120730,5.793
2007,Ouest,Spring_Barley,36840,4.096
2007,Sud,Spring_Barley,23282,3.26
2008,Est,Spring_Barley,347360,6.526
2008,Nord,Spring_Barley,114001,7.377
2008,Ouest,Spring_Barley,33834,6.162
2008,Sud,Spring_Barley,21771,3.6
2009,Est,Spring_Barley,263773,6.712
2009,Nord,Spring_Barley,47936,7.631
2009,Ouest,Spring_Barley,54723,5.954
2009,Sud,Spring_Barley,43717,3.687
2010,Est,Spring_Barley,267823,6.283
2010,Nord,Spring_Barley,89387,6.457
2010,Ouest,Spring_Barley,41510,4.732
2010,Sud,Spring_Barley,22373,3.921
2011,Est,Spring_Barley,320140,5.092
2011,Nord,Spring_Barley,99508,5.747
2011,Ouest,Spring_Barley,33700,4.501
2011,Sud,Spring_Barley,20132,3.234
2012,Est,Spring_Barley,459795,6.642
2012,Nord,Spring_Barley,89454,7.054
2012,Ouest,Spring_Barley,27426,6.009
2012,Sud,Spring_Barley,19635,4.44
2013,Est,Spring_Barley,336600,5.941
2013,Nord,Spring_Barley,94645,7.093
2013,Ouest,Spring_Barley,47730,5.757
2013,Sud,Spring_Barley,16639,3.974
2014,Est,Spring_Barley,382640,6.044
2014,Nord,Spring_Barley,74800,7.095
2014,Ouest,Spring_Barley,37691,5.834
2014,Sud,Spring_Barley,21444,3.94
2015,Est,Spring_Barley,195108,5.817
2015,Nord,Spring_Barley,80190,7.195
2015,Ouest,Spring_Barley,38062,6.085
2015,Sud,Spring_Barley,19294,3.899
2016,Est,Spring_Barley,243235,4.896
2016,Nord,Spring_Barley,85210,5.192
2016,Ouest,Spring_Barley,32517,5.503
2016,Sud,Spring_Barley,12517,3.926
2004,Est,Oats,42728,4.365
2004,Nord,Oats,12593,6.562
2004,Ouest,Oats,36300,5.334
