Year,Region,Crop,Area_hectares,Yield_t_per_ha,Winter_Tmax,Spring_Tmax,Summer_Tmax,Autumn_Tmax,Winter_Tmin,Spring_Tmin,Summer_Tmin,Autumn_Tmin,Spring_Temp_Mean,Summer_Temp_Mean,Flowering_Temp,Grain_Filling_Temp,Summer_Tmax_Peak,Spring_Tmin_Coldest,Spring_Temp_Range,Summer_Temp_Range,Spring_GDD,Summer_GDD,Winter_Rain,Spring_Rain,Summer_Rain,Autumn_Rain,Planting_Rain,Grain_Filling_Rain,Harvest_Rain,Annual_Rain,Rain_Deviation_from_Optimal,Spring_Rain_Squared,Summer_Rain_Squared,Winter_Sun,Spring_Sun,Summer_Sun,Autumn_Sun,Grain_Filling_Sun,Flowering_Sun,Summer_Sun_per_Rain,Winter_Frost,Spring_Frost,Autumn_Frost,Late_Spring_Frost,Spring_Temp_x_Rain,Summer_Temp_x_Rain,Summer_Temp_x_Sun,Heat_Stress,Cold_Spring,Extreme_Summer_Rain,Drought_Spring
2004,Est,Wheat,1593064,7.685,6.019989172617595,14.57748285929362,23.925570170084637,15.529293060302734,-0.0977606077988942,4.1612502336502075,12.613503456115724,7.493145783742269,9.369366546471912,18.26953681310018,20.709793090820312,23.694220542907715,24.388269424438477,1.1266368627548218,10.416232625643412,11.312066713968914,843.2429891824722,1644.258313179016,229.47437858581543,160.62070846557617,246.8087501525879,185.9695720672607,101.48329544067384,117.4582405090332,203.06057739257812,822.8734092712402,72.87340927124023,25799.011987983613,60914.55915188255,169.3035430908203,654.2715454101562,797.912109375,340.5748176574707,574.3302307128906,589.5094604492188,3.219870601355629,50.0,13.0,4.0,1.0,1504.914292567987,4509.081546707949,19090.50216241181,1,1,0,1
2004,Nord,Wheat,910320,8.934,6.81196133295695,14.17328643798828,22.721026102701824,15.56043561299642,1.6254948774973552,4.912326335906982,12.586920420328775,8.239677588144938,9.542806386947632,17.6539732615153,19.471464157104492,22.10949993133545,23.94407844543457,2.4397382736206055,9.2609601020813,10.134105682373049,858.8525748252869,1588.857593536377,180.0696725845337,134.85136032104492,199.9755401611328,124.08111763000488,91.43175888061523,97.00057220458984,166.78255081176758,638.9776906967163,111.02230930328368,18184.88938043629,39990.21666273684,141.3909568786621,615.7617797851562,753.3732757568359,313.72887420654297,538.8726196289062,554.9656677246094,3.7485819177439024,30.0,9.0,4.0,0.0,1286.860422560244,3530.362838961718,17117.41386354905,1,0,0,1
2004,Ouest,Wheat,1232324,7.197,8.981989542643229,15.076415379842125,23.63335927327474,16.886321385701496,2.6746785640716553,5.459078947703044,13.08615239461263,9.038355191548664,10.267747163772585,18.359755833943684,21.253154754638672,23.491907119750977,23.916263580322266,2.7194509506225586,9.61733643213908,10.547206878662108,924.0972447395324,1652.3780250549316,221.43585968017575,165.08182525634766,178.74474906921387,177.90391731262207,118.20855712890624,79.35599327087402,161.36626434326172,743.1663513183594,6.833648681640625,27252.009029967303,31949.68531981623,185.7412872314453,663.2838134765625,821.0366058349609,354.27559661865234,591.0415954589844,608.1318969726562,4.567791883137606,25.0,8.0,0.0,0.0,1695.0184430662648,3281.7099495102993,19403.85308220769,1,0,0,1
2004,Sud,Wheat,556068,6.018,7.940131823221843,14.193019231160482,24.986616134643555,16.82472864786784,0.3002460102240245,4.235304832458496,13.115801811218262,7.652104218800862,9.21416203180949,19.051208972930908,21.331148147583008,24.92194652557373,25.467662811279297,1.1412110328674316,9.957714398701986,11.870814323425291,829.274582862854,1714.6088075637815,239.10594940185547,223.6694107055664,177.99497604370117,216.60054779052737,161.2243881225586,60.43966293334961,156.4006309509277,857.3708839416504,107.3708839416504,50028.005285375344,31682.21149679775,238.68996047973633,690.4630737304688,919.1380004882812,421.4179229736328,654.2927856445312,631.3158264160156,5.134993287542752,41.0,14.0,5.0,1.0,2060.926191800433,3391.019484740382,22966.148392964504,1,1,0,0
2005,Est,Wheat,1755341,7.109,4.812640349070231,15.358482042948404,24.61280377705892,16.488113085428875,-0.9446573158105216,5.097314318021138,12.341830253601074,7.548173427581787,10.227898180484772,18.47731701532999,22.39185619354248,25.139875411987305,25.271638870239254,1.6929768323898315,10.261167724927263,12.270973523457844,920.5108362436296,1662.9585313796997,163.70045852661133,186.09405517578125,169.50360870361328,151.90177154541016,122.36367797851562,129.5812950134277,120.0378761291504,671.199893951416,78.80010604858398,34630.997371766716,28731.473363547644,168.0371856689453,625.5167999267578,849.3495330810547,359.05674743652344,593.922607421875,598.3877563476562,4.981416754395389,55.0,12.0,12.0,0.0,1903.3510483314055,3131.971913259111,20904.87339586061,1,1,0,0
2005,Nord,Wheat,1293216,8.086,6.288259983062744,14.481643676757812,23.147591908772785,16.478944142659504,1.2572030027707417,5.675541083017985,12.251171747843424,8.596081972122192,10.0785923798879,17.699381828308105,20.61505889892578,23.361533164978027,23.38355255126953,3.085522174835205,8.806102593739826,10.89642016092936,907.0733141899108,1592.9443645477295,128.2286148071289,148.42303848266602,176.39213943481445,144.2007179260254,91.96524047851562,124.68054962158205,136.0898475646973,597.2445106506348,152.75548934936523,22029.398352426957,31114.186854391024,149.22089004516602,579.5154266357422,802.048095703125,329.24463653564453,553.2760772705078,567.574951171875,4.521328274513822,33.0,8.0,10.0,0.0,1495.895304651206,3122.0318273689445,18565.48201054428,1,0,0,1
2005,Ouest,Wheat,1255370,6.935,7.926071484883626,15.657768885294596,24.6763973236084,17.66035334269206,2.018791913986206,6.229894479115804,13.002325693766275,9.061251719792685,10.9438316822052,18.839361508687336,21.6904935836792,24.74333095550537,24.828039169311523,3.78434944152832,9.427874406178791,11.674071629842125,984.944851398468,1695.5425357818604,152.603910446167,153.26740264892578,109.21059799194336,191.15795135498047,102.49307250976562,79.83740997314453,79.88093185424805,606.2398624420166,143.7601375579834,23490.89671474794,11926.954713757865,182.00495529174805,635.2925109863281,874.2037963867188,372.2268829345703,591.46533203125,592.2241821289062,7.932120978516286,26.0,9.0,8.0,0.0,1677.3326569586152,2057.457936150144,21572.200221445528,1,0,0,1
2005,Sud,Wheat,537261,5.781,5.682480176289876,15.581202189127604,25.38285255432129,16.757495244344074,-2.0075994729995728,4.940386374791463,13.116981188456217,7.639197667439778,10.260794281959534,19.249916871388752,22.859838485717773,25.891283988952637,26.147315979003903,1.090153455734253,10.64081581433614,12.265871365865072,923.471485376358,1732.4925184249878,149.7438507080078,206.2294158935547,120.62703323364258,253.5763931274414,146.64458084106445,73.07870483398438,81.25710678100586,730.1766929626465,19.823307037353516,42530.57197979675,14550.881146750313,255.32840728759768,717.0655059814453,948.6335754394532,418.2715759277344,663.1514587402344,639.1996154785156,7.799529020963218,61.0,14.0,13.0,0.0,2116.0776113724405,2322.060362189868,24079.02617345826,1,1,0,0
2006,Est,Wheat,1725825,6.798,5.3107673327128095,14.298894246419271,25.39681752522787,18.07666047414144,-0.5158906976381937,4.908764759699504,13.233853340148926,9.22590414683024,9.603829503059387,19.3153354326884,21.718741416931152,27.47677326202393,30.27745056152344,1.3272998332977295,9.390129486719768,12.162964185078945,864.3446552753448,1738.3801889419556,160.11070251464844,265.9364547729492,203.76625061035156,231.28060913085935,167.03982543945312,75.58627319335938,169.48873138427734,861.0940170288086,111.0940170288086,70722.19797720487,41520.6848878006,159.2123565673828,583.7950134277344,874.0263366699219,344.05956649780273,664.8848266601562,564.1430511474609,4.268410121612771,51.0,19.0,6.0,5.0,2554.008370287468,3935.813480400188,22197.487384649387,1,1,0,0
2006,Nord,Wheat,1273889,7.902,5.957001209259033,13.50793425242106,24.033986409505207,17.869173685709637,1.1086180719236531,5.34094242254893,13.01175626118978,9.884966214497885,9.424438337484997,18.522871335347492,20.26921272277832,25.577282905578613,28.513263702392575,1.791646122932434,8.166991829872131,11.022230148315428,848.1994503736496,1667.0584201812744,175.1745376586914,192.47711181640625,211.33963012695312,147.547212600708,97.26667022705078,91.87525177001952,170.07167434692383,726.5384922027588,23.46150779724121,37047.438573185354,44664.43926219735,129.7729320526123,564.8014984130859,821.3602752685547,316.88411712646484,624.3100891113281,531.5108947753906,3.868144042529799,37.0,19.0,1.0,3.0,1813.9886716909252,3914.6167769014814,19740.5616931119,1,1,0,0
