year,tmax_jan,tmin_jan,rain_jan,frost_jan,sun_jan,tmax_feb,tmin_feb,rain_feb,frost_feb,sun_feb,tmax_mar,tmin_mar,rain_mar,frost_mar,sun_mar,tmax_apr,tmin_apr,rain_apr,frost_apr,sun_apr,tmax_may,tmin_may,rain_may,frost_may,sun_may,tmax_jun,tmin_jun,rain_jun,frost_jun,sun_jun,tmax_jul,tmin_jul,rain_jul,frost_jul,sun_jul,tmax_aug,tmin_aug,rain_aug,frost_aug,sun_aug,tmax_sep,tmin_sep,rain_sep,frost_sep,sun_sep,tmax_oct,tmin_oct,rain_oct,frost_oct,sun_oct,tmax_nov,tmin_nov,rain_nov,frost_nov,sun_nov,tmax_dec,tmin_dec,rain_dec,frost_dec,sun_dec
1995,6.864254474639893,-0.4161645472049713,113.2598648071289,14.0,71.82683563232422,10.86744213104248,2.5575125217437744,106.3482894897461,7.0,99.30146789550781,10.818534851074219,0.8777903914451599,70.12517547607422,12.0,187.76736450195312,14.815755844116211,4.393765449523926,72.21833801269531,0.0,223.06883239746094,18.932573318481445,7.625082969665527,85.40921020507812,0.0,281.3538513183594,21.595874786376953,10.123804092407227,29.32480239868164,0.0,301.734375,27.224870681762695,14.79627513885498,50.44081115722656,0.0,319.8368835449219,25.048330307006836,13.677793502807617,52.52044677734375,0.0,268.6407775878906,18.328397750854492,8.869736671447754,134.737548828125,0.0,178.66485595703125,19.832094192504883,9.85498332977295,56.260501861572266,0.0,143.55691528320312,11.53864574432373,2.8391079902648926,80.08553314208984,7.0,86.27928924560547,8.092297554016113,1.2575968503952026,129.8495635986328,12.0,52.0337028503418
1996,9.763374328613281,2.843064069747925,137.99440002441406,5.0,64.05345153808594,5.815292835235596,-1.1320767402648926,92.79646301269531,17.0,95.25211334228516,10.943215370178223,1.0463345050811768,45.24494552612305,13.0,181.90597534179688,15.10943603515625,4.533257961273193,60.52845001220703,3.0,229.6174774169922,17.894882202148438,7.659107208251953,96.06617736816406,0.0,270.87353515625,23.284564971923828,11.691800117492676,53.11363983154297,0.0,315.8603515625,24.45635986328125,12.938072204589844,76.94498443603516,0.0,306.5370788574219,23.085786819458008,12.408732414245605,88.0715560913086,0.0,249.42730712890625,19.0139217376709,7.793318271636963,70.52101135253906,0.0,205.6927032470703,15.856648445129395,6.769574165344238,71.53780364990234,0.0,129.8787841796875,9.893414497375488,2.7847518920898438,208.14683532714844,7.0,65.48291778564453,7.5747270584106445,1.2305136919021606,103.23611450195312,7.0,54.26287841796875
1997,7.353658676147461,0.047069571912288666,79.73829650878906,19.0,67.74951934814453,12.01693058013916,2.0291037559509277,42.25682067871094,8.0,110.02410888671875,15.741113662719727,3.2255654335021973,7.739459037780762,2.0,216.72946166992188,16.603845596313477,3.3739845752716064,27.96512794494629,3.0,285.5433349609375,20.05447769165039,8.863941192626953,98.69962310791016,0.0,285.2428283691406,20.95033836364746,11.371403694152832,121.416015625,0.0,250.96676635742188,23.66573715209961,12.889720916748047,65.17865753173828,0.0,296.96588134765625,26.828702926635742,15.175909996032715,92.67098999023438,0.0,270.34552001953125,23.733154296875,10.827485084533691,35.0085334777832,0.0,228.9130096435547,17.91623306274414,7.744123935699463,53.40458297729492,3.0,144.0972442626953,12.149556159973145,4.330567836761475,133.9747772216797,3.0,74.29908752441406,8.337912559509277,1.5385898351669312,122.66099548339844,10.0,57.79207992553711
1998,8.551717758178711,0.801616907119751,82.31684112548828,13.0,77.1462173461914,12.449395179748535,0.7015396356582642,19.26433753967285,9.0,124.70576477050781,12.937055587768555,2.329300880432129,38.30943298339844,7.0,194.6938018798828,12.925536155700684,4.036943435668945,167.67828369140625,2.0,198.63088989257812,19.83543586730957,8.61205768585205,61.36734390258789,0.0,294.0095520019531,22.651416778564453,11.407723426818848,56.28771209716797,0.0,304.1903991699219,25.35048484802246,13.417807579040527,46.86155700683594,0.0,318.0170593261719,26.270849227905273,13.249034881591797,34.69233322143555,0.0,285.24908447265625,20.39640998840332,10.835801124572754,132.87062072753906,0.0,184.8929443359375,15.185103416442871,6.935206413269043,96.95329284667969,0.0,123.90792846679688,8.58340072631836,0.3745638430118561,70.64907836914062,12.0,84.32001495361328,7.727601528167725,-0.12908677756786346,49.42236328125,16.0,63.29487991333008
1999,8.46098518371582,0.6389763355255127,84.73006439208984,11.0,76.9216537475586,6.474747657775879,-0.5013350248336792,69.7696762084961,12.0,91.37751007080078,12.398062705993652,2.7775168418884277,72.58936309814453,5.0,176.91001892089844,14.347046852111816,4.919802665710449,94.64859008789062,1.0,208.17538452148438,20.480937957763672,10.504878044128418,115.0867691040039,0.0,260.4649353027344,22.06133270263672,10.751285552978516,53.555694580078125,0.0,300.4356994628906,25.8592472076416,13.967612266540527,59.14900588989258,0.0,311.39068603515625,25.36124038696289,14.11562442779541,73.50946807861328,0.0,263.4638671875,22.843595504760742,12.136330604553223,124.57786560058594,0.0,192.51846313476562,17.056278228759766,7.7265496253967285,103.48748779296875,0.0,130.24114990234375,8.706905364990234,1.232662558555603,89.12811279296875,13.0,76.65211486816406,7.4927520751953125,0.15812435746192932,109.8119125366211,15.0,57.87971496582031
2000,6.486355781555176,-1.3367714881896973,15.175272941589355,21.0,77.666259765625,10.77468490600586,1.803589940071106,76.51759338378906,7.0,110.36726379394531,12.496580123901367,1.9593091011047363,57.21762466430664,6.0,190.7418975830078,14.468688011169434,4.946530342102051,122.56520080566406,0.0,208.27239990234375,20.38857078552246,9.53895378112793,79.25787353515625,0.0,276.62371826171875,23.340261459350586,12.221424102783203,71.00999450683594,0.0,306.6708068847656,23.11712646484375,12.066123008728027,79.11398315429688,0.0,301.33160400390625,26.096036911010742,13.94412899017334,56.88684844970703,0.0,266.3253173828125,22.58196258544922,10.849717140197754,79.89876556396484,0.0,210.44515991210938,15.587797164916992,7.6183366775512695,130.96693420410156,0.0,119.06640625,10.725628852844238,3.951021671295166,179.57711791992188,1.0,66.6964111328125,10.338837623596191,3.4165241718292236,78.96659088134766,3.0,57.40906524658203
2001,8.072304725646973,1.8670755624771118,110.71048736572266,10.0,58.986244201660156,9.180885314941406,0.7238200306892395,37.36783218383789,12.0,106.46788024902344,13.751283645629883,5.405333042144775,149.87677001953125,2.0,148.7066192626953,12.947178840637207,4.064924240112305,109.58463287353516,4.0,214.5856170654297,19.613744735717773,9.375146865844727,81.7052993774414,0.0,271.2237854003906,23.07231330871582,10.878800392150879,54.9066162109375,0.0,325.7193298339844,24.851078033447266,13.485297203063965,93.96558380126953,0.0,304.10296630859375,26.23322296142578,14.253424644470215,47.40435791015625,0.0,274.6322937011719,18.99881362915039,8.425398826599121,69.46137237548828,0.0,200.63751220703125,20.23615837097168,9.786206245422363,82.2455062866211,0.0,145.2017364501953,8.869355201721191,1.3350354433059692,45.479705810546875,10.0,79.1985855102539,5.466142177581787,-2.66335129737854,24.961631774902344,21.0,72.21378326416016
2002,9.263450622558594,-0.10604901611804962,31.98192596435547,17.0,82.75001525878906,10.184202194213867,2.5133540630340576,80.29278564453125,4.0,91.63490295410156,13.666749000549316,3.661504030227661,41.3157844543457,4.0,183.17950439453125,15.361231803894043,4.738217830657959,48.45111083984375,0.0,229.1692657470703,17.621212005615234,7.417128086090088,123.73528289794922,0.0,263.6585998535156,23.92329978942871,12.55521011352539,78.3749771118164,0.0,303.9831237792969,23.91211700439453,12.83592414855957,71.69647216796875,0.0,293.4682922363281,23.239242553710938,12.942142486572266,102.91638946533203,0.0,243.22891235351562,20.16449737548828,9.66748332977295,74.01458740234375,0.0,201.3801727294922,17.120962142944336,7.673822402954102,97.62942504882812,0.0,131.8507537841797,12.264580726623535,4.906304359436035,177.5983123779297,0.0,76.0596923828125,9.406848907470703,3.3443233966827393,97.95851135253906,0.0,51.195430755615234
2003,5.5868635177612305,-1.3274205923080444,79.21882629394531,19.0,72.16072082519531,6.706989765167236,-1.6724275350570679,57.033111572265625,20.0,105.82601928710938,14.965667724609375,2.802851915359497,34.52089309692383,4.0,210.51077270507812,16.035524368286133,5.127152442932129,64.37403106689453,4.0,239.7956085205078,20.126766204833984,8.784836769104004,55.06437683105469,0.0,285.0743713378906,28.245460510253906,15.434259414672852,36.149532318115234,0.0,324.2705078125,27.54808807373047,14.402666091918945,35.43419647216797,0.0,336.9383850097656,30.96255111694336,16.666370391845703,49.85764694213867,0.0,292.3841247558594,22.04170036315918,10.593945503234863,78.69481658935547,0.0,209.63575744628906,14.579575538635254,6.192811489105225,133.8802032470703,2.0,126.2858657836914,12.821778297424316,4.335170269012451,97.0813217163086,1.0,81.55175018310547,8.307844161987305,1.0946189165115356,117.19263458251953,14.0,62.472755432128906
2004,6.952922821044922,0.41568222641944885,128.28640747070312,16.0,62.510108947753906,9.095949172973633,-0.39073437452316284,38.973052978515625,14.0,115.63742065429688,10.755025863647461,1.0806635618209839,62.06821060180664,13.0,179.3677520751953,13.510438919067383,4.391970157623291,99.45314025878906,1.0,210.3134307861328,18.322294235229492,7.097615718841553,61.93656539916992,0.0,300.6224060058594,24.391277313232422,12.017690658569336,21.627960205078125,0.0,330.70703125,25.437089920043945,13.131134033203125,39.750396728515625,0.0,322.7110900878906,25.07947540283203,14.035479545593262,119.84840393066406,0.0,263.88018798828125,22.47706413269043,11.09391975402832,34.69413757324219,0.0,218.80699157714844,17.90574073791504,9.377570152282715,138.20901489257812,0.0,121.63428497314453,9.93061637878418,2.2604033946990967,43.08192443847656,5.0,79.94857788085938,7.58816385269165,0.6276155710220337,70.20594024658203,12.0,59.98917770385742
