year,tmax_jan,tmin_jan,rain_jan,sun_jan,frost_jan,tmax_feb,tmin_feb,rain_feb,sun_feb,frost_feb,tmax_mar,tmin_mar,rain_mar,sun_mar,frost_mar,tmax_apr,tmin_apr,rain_apr,sun_apr,frost_apr,tmax_may,tmin_may,rain_may,sun_may,frost_may,tmax_jun,tmin_jun,rain_jun,sun_jun,frost_jun,tmax_jul,tmin_jul,rain_jul,sun_jul,frost_jul,tmax_aug,tmin_aug,rain_aug,sun_aug,frost_aug,tmax_sep,tmin_sep,rain_sep,sun_sep,frost_sep,tmax_oct,tmin_oct,rain_oct,sun_oct,frost_oct,tmax_nov,tmin_nov,rain_nov,sun_nov,frost_nov,tmax_dec,tmin_dec,rain_dec,sun_dec,frost_dec
2004,7.245071229516849,0.8340828385945784,65.68686087866142,67.56499631536622,11.648769937914995,7.148794564576229,2.8950553786088697,55.36036884356427,65.070518947683,10.813840065378947,10.304873460781307,2.441124295715692,53.629434073490515,85.56095559615963,3.4126232512304506,13.656568706138541,3.7846026555986914,54.71370998892911,138.20742218749092,0.0,20.19847315338233,8.229068439416157,61.21550768438263,153.3261155532564,0.0,21.166383884564798,9.618807707093236,61.19901730270359,181.98083930243584,0.0,22.597440081655904,15.222733821410724,59.75704995471719,176.68210573788915,1.2338173681547835,21.168734525043465,13.250636314005707,22.6654429559837,156.15055806972092,0.2952918538036853,20.607699869993116,10.705641937427965,48.265275764176394,143.225166849241,0.0,13.420233687407936,6.947233474848255,85.61388341126886,105.15427434352692,0.0,9.986125954092193,3.5379012635004203,47.81540399449274,65.50508659956782,6.546499283743927,7.896920178674298,0.4929389721328339,58.97035867090132,47.236028161974055,11.463317690683539
2005,5.781238643232065,0.7772092280034195,36.74547292890053,45.131295351334465,13.218788733591296,9.534360042856235,0.9135878541035993,58.54769412154233,73.79717826300016,9.032320368092314,11.542093408262621,4.845643879759163,49.46260941335073,148.16358580465212,2.0703823438653837,15.732853756562836,5.104456481885806,45.514889743011985,162.20225863685206,0.0,17.670492168243733,8.928535085814095,86.6020928053473,179.84059611549583,0.0,20.247364434623194,12.09848254124249,60.4243933093848,184.10719388698882,0.7699011496700341,23.64561632402206,14.162373988639468,47.363044310207655,199.6786423821703,0.0,20.80472757780182,13.355344332477491,59.30741199096818,195.14956860679197,0.0,17.37694388692438,9.995225612681569,44.85928225209846,131.9487614425136,0.0,15.106076285221807,9.763423081452636,68.40426735022086,103.86325586084146,0.8883311263507494,6.621843177051438,3.9681833494609395,61.084143778938476,82.16917901236758,4.711458552828316,6.952321013500419,1.458345876353708,42.210778266419126,52.714053997976386,11.127899549030161
2006,7.68654792056457,-0.09126494575368671,78.14610613044565,43.43472873196368,12.880285640700405,10.785683438714969,-0.18864359015682597,37.35498065036258,71.04633933342024,9.244786518825702,8.6740048534008,3.0822755697672326,34.06544429410843,128.52466375143328,4.620863648649295,16.82490160752631,4.060096049196516,45.16907725691487,179.52441321687206,0.15370352534906706,18.341189901906194,10.068571305138914,31.065301777897904,200.4005403620699,0.38982419137263524,22.172734307665966,9.515659146946302,33.21246588410944,215.65824696850694,0.4454770098497791,23.875739275518814,13.41573785139637,47.75955501158717,217.3159914605716,0.43960870994802187,21.928472872960448,15.238929413373707,62.818243195044495,160.15437270682253,0.9848304129507446,18.037977494659017,11.444501524490942,67.37893368511106,131.5346478370865,1.4450641938664828,15.119171390404748,8.486472191993387,101.98746316175198,96.31917825995694,0.0,8.165728355561715,3.021027658041474,58.61216923054613,63.070367773349794,5.415036198995028,7.740774873554036,1.5156022702534884,93.34391450456768,43.21356637564379,14.080253749884427
2007,7.438501021647509,-0.02858906769953906,37.33027378199165,58.98039742575628,11.664805822011223,8.571000741138137,1.5678851494882537,44.016809679132216,61.10866596028175,7.727729162971203,10.330227571899469,4.027678553188167,53.21140616195306,97.57670198318422,6.259771388776773,15.077976069593255,3.9393710765586407,52.305876589182915,161.397009242704,0.28554455325406547,18.536681040522424,9.172941431641881,79.49492237715498,225.82371002202092,0.0,19.593262440127315,11.618042320650392,63.47746819005145,215.45143058918143,5.779097235982081,24.356335766039752,14.36267876821672,77.17203174287764,230.51882441613265,0.0,24.138453830739902,12.072609742554913,51.09249298878986,180.80311622599874,0.12281120907948384,22.97198785001026,8.259281768889903,60.2939028556177,113.71389289823284,0.0,16.13342589545105,7.577136022914555,43.98397683037853,89.27044436110047,2.019396623402014,8.404450052424295,4.25975030749837,60.82029311826865,54.13559687154765,8.215916133987989,7.450878533477017,-0.9301711039891285,68.63585913800384,40.53294136281338,11.278650002194336
2008,5.311218892350949,0.8623162702397211,63.33229010317754,62.1424803519035,10.199555389416336,6.998248146238577,0.43006562660685266,36.18005536025489,88.53726952295152,10.607472566441434,9.108674068497432,4.101434336465731,81.8323429551895,138.58437468992065,3.7209450510689797,13.773648890700622,6.520293379023947,39.38495801571829,170.65166627550948,3.1619510801440054,16.609604292632877,8.42856957272584,1.6571878787566945,165.03666149097202,0.0,19.128325227052727,12.958893564717963,31.402667263649562,186.79866539909048,0.196110865929137,25.661909933599173,11.276965418584673,80.93694753878927,210.322341422117,0.0,23.693155211394906,13.238871634688165,45.09642152687989,197.04171098595805,0.0,19.670276017876873,11.294556809425256,73.79025224218029,122.1491512763959,3.1995500619844,11.571868300716247,7.3178578859573005,76.47218552644924,104.2148780160255,0.0659507202691092,9.187816624464087,3.4083988784094004,49.39143437500419,67.64641887318922,5.535523228947571,5.460635607109019,2.579519850519901,70.99234065709388,50.48681930216298,10.944443262885418
2009,5.2565074836168915,0.32778275176363636,67.33034448453382,60.035554689826085,11.968647609053777,7.675991074963173,2.5331978749461097,37.013786250716294,75.74452250228539,9.69671102134916,10.67347819515917,4.318532222384628,62.38124523482045,134.64317344801148,7.958218210731493,14.531505762449138,5.818343565553957,45.34599865109816,167.77999245972262,1.804785418448473,18.145493947489076,9.214188430524297,45.2720277017975,256.2023278137997,0.0,19.1787170808184,12.389733048200082,68.06243445038844,218.72359451156467,0.9425182638964198,23.481629840729628,11.923294754217002,61.36448204748707,188.6694060873685,1.4626796001266267,22.77941392774679,12.009403363848985,49.69713361272561,207.07824503756203,0.0,18.26666940665035,10.792424653790295,53.674498566630845,138.5937785541496,0.0,14.848074906036455,5.762298790203211,37.55445639965717,89.22333668121345,0.6798292724322291,9.966361348397006,5.770427460339462,75.43787321763635,58.560553230329155,4.971475688145967,4.996205953043287,1.477784236809132,59.37115654105731,47.1783502822821,8.759153584671516
2010,7.279019771361758,2.839286695603093,53.20545755046185,58.31412170731627,13.03521598756667,6.898169292171246,1.2689109781725,45.16999741055423,71.02559903476273,8.8404853242168,11.036765261388414,3.5975979494945394,71.76715411692562,137.26687486953372,9.229773686267334,13.348978655667926,6.046784764064814,52.75013008607527,212.55527039722415,0.7875525719672729,16.740417236728835,7.780728825467174,21.769876962423474,179.62166561583774,0.0,21.225590679714312,11.41010717093259,85.95681884706212,228.5127151455815,0.0,22.152377992977463,13.590303005807806,36.23580227362844,267.69095112441215,1.7691601810819306,22.296236521842943,10.944238565090947,77.33889417372932,191.64970952636094,1.8567244679601926,17.10835851180845,9.780749972455473,50.07865549577275,151.0570633597067,0.0,15.434274898521249,6.218855484740887,62.223600042084776,101.80443447567848,1.7716582510881236,10.567422317133335,2.6504294897945573,32.385944926758796,71.49909139708659,5.498471017969387,5.37727019516517,3.3613823706270276,67.25565536871075,52.96025599243083,10.101277722115164
2011,9.59112188732298,3.1064090109318454,50.89209155009529,63.015460345373434,12.968063924377722,9.552947336298523,-0.15790815269612524,54.26169470997893,81.11345711192067,7.361890770365329,9.225112231001336,0.5529213866878795,45.95889748333163,132.91576060432732,8.253535578144042,14.611142170629662,6.95433865468555,29.29847812677663,119.11882145547628,1.916678451655072,18.576098173408962,8.46076630228709,22.78604219928222,192.39323884425093,0.0,22.004508823245057,11.439917895316217,39.49198352559864,184.5839924798992,0.0,23.405981354090244,14.146170784601486,42.25693116596021,225.8774652388121,0.0,21.810690751606483,12.87156356805453,37.918501680080325,178.80575781859494,0.0,22.447087699374585,10.542316262366075,39.50411738011122,154.81454799152,0.0,14.168545600700167,8.237000040052111,79.77140034592244,92.04248278584208,0.13627263903298004,9.087422454272534,1.237694602317298,32.726560880426064,72.30186840700073,7.467451570251925,6.126445940665432,2.19186835566692,71.06937801359895,65.78244545707285,11.679362367151866
2012,6.30812361277885,-0.14664852872051082,28.493635715750052,56.67857499590459,10.865473882073545,5.366619435603489,0.22411253890896798,30.399101951205665,87.71498716826193,11.322459635424176,10.988041038025074,4.775932966668032,51.16052461471428,104.49688437609126,8.284686115904485,15.308365065526989,3.755304614808252,47.14491982874588,138.9851619187658,0.0,19.389266321297463,10.791299968564157,34.82578367125546,211.4668501731992,0.0,20.269311924352955,10.289127290913356,40.744152300283034,201.4556488383448,0.0,23.905685238669758,12.939714268661035,55.69893515640462,181.41174464568968,0.0,24.133086838738635,13.601100625149257,38.87033846082391,197.90546993380485,1.1270806850576836,16.995892078317944,11.152032230855921,40.060643615812296,162.8384700433461,0.0,11.792676849003222,5.546949074540205,65.93765645989694,103.89583752582223,0.0,10.457888688166062,2.0061759252772484,58.810563624348305,49.100854202137896,4.022245838296762,6.571098006974621,0.4675039616592571,57.50116688751841,51.79247646219747,9.134662195715277
2013,7.7535381680977125,-0.3556482255891418,63.74176893560217,66.89294112042768,8.292533249809066,6.304657116794285,1.6924865526166482,42.2588872884196,73.89703167039875,9.09402221992627,11.129884681209349,2.8131873175295046,67.5167309248971,124.57957517942184,6.506403993112803,13.882184550816298,4.414872531113008,43.51162718270569,169.4668514170791,1.3685232787696056,18.43466228534462,10.990480958374526,75.68024466177046,185.46381168409064,1.8018208832459173,20.387886940467673,8.554250557786576,38.36657586986283,143.87624236922431,0.0,23.52762756878433,15.01172477473034,65.88469272775492,203.0983333425208,1.2441083717752337,19.68329703648817,13.282737469730279,67.71927569913495,151.75135231093964,1.7156310648103936,20.00774461124162,10.001654503319038,59.491727991594274,201.0905893005989,0.2727993825877427,14.872330879450503,6.948766920551707,48.42803479543656,112.45503724816368,0.0,9.607349355829088,3.42681106388186,68.62163686343506,63.002958947582535,6.55630991638685,5.734975401717879,1.1761500776479545,45.914107542245006,42.00102049448625,10.565950739567278
