Year,Region,Crop,Area_hectares,Yield_t_per_ha
2004,Nord_DE,Oats,31261,5.295
2004,Nord_DE,Oilseed_Rape,503045,4.363
2004,Nord_DE,Spring_Barley,68901,4.852
2004,Nord_DE,Wheat,893851,8.4
2004,Nord_DE,Winter_Barley,384928,7.548
2004,Ost_DE,Oats,33610,4.976
2004,Ost_DE,Oilseed_Rape,571074,4.12
2004,Ost_DE,Spring_Barley,101578,5.658
2004,Ost_DE,Wheat,827347,7.95
2004,Ost_DE,Winter_Barley,336079,7.08
2004,Sued_DE,Oats,67505,5.236
2004,Sued_DE,Oilseed_Rape,241009,3.869
2004,Sued_DE,Spring_Barley,223109,5.614
2004,Sued_DE,Wheat,662521,8.047
2004,Sued_DE,Winter_Barley,396345,6.503
2004,West_DE,Oats,38436,5.212
2004,West_DE,Oilseed_Rape,181623,3.798
2004,West_DE,Spring_Barley,91507,5.51
2004,West_DE,Wheat,519603,8.449
2004,West_DE,Winter_Barley,288141,7.161
2005,Nord_DE,Oats,31261,4.778
2005,Nord_DE,Oilseed_Rape,502699,3.893
2005,Nord_DE,Spring_Barley,68876,4.793
2005,Nord_DE,Wheat,893851,8.197
2005,Nord_DE,Winter_Barley,384890,7.468
2005,Ost_DE,Oats,32967,4.243
2005,Ost_DE,Oilseed_Rape,571906,3.727
2005,Ost_DE,Spring_Barley,101548,4.717
2005,Ost_DE,Wheat,827347,7.076
2005,Ost_DE,Winter_Barley,335896,6.513
2005,Sued_DE,Oats,67505,4.508
2005,Sued_DE,Oilseed_Rape,239160,3.709
2005,Sued_DE,Spring_Barley,223109,4.508
2005,Sued_DE,Wheat,662521,6.842
2005,Sued_DE,Winter_Barley,396345,5.658
2005,West_DE,Oats,37587,4.849
2005,West_DE,Oilseed_Rape,181493,3.763
2005,West_DE,Spring_Barley,90312,4.751
2005,West_DE,Wheat,517950,7.773
2005,West_DE,Winter_Barley,287224,6.719
2006,Nord_DE,Oats,31185,4.486
2006,Nord_DE,Oilseed_Rape,502906,3.845
2006,Nord_DE,Spring_Barley,68976,4.614
2006,Nord_DE,Wheat,893851,7.926
2006,Nord_DE,Winter_Barley,384890,6.8
2006,Ost_DE,Oats,33436,3.898
2006,Ost_DE,Oilseed_Rape,571991,3.618
2006,Ost_DE,Spring_Barley,100590,4.837
2006,Ost_DE,Wheat,826359,6.461
2006,Ost_DE,Winter_Barley,336088,6.229
2006,Sued_DE,Oats,67505,4.717
2006,Sued_DE,Oilseed_Rape,240949,3.853
2006,Sued_DE,Spring_Barley,223109,4.471
2006,Sued_DE,Wheat,662521,6.998
2006,Sued_DE,Winter_Barley,396345,5.715
2006,West_DE,Oats,37794,4.657
2006,West_DE,Oilseed_Rape,175260,3.862
2006,West_DE,Spring_Barley,91523,5.012
2006,West_DE,Wheat,514517,7.591
2006,West_DE,Winter_Barley,288660,6.765
2007,Nord_DE,Oats,31236,4.051
2007,Nord_DE,Oilseed_Rape,503434,3.386
2007,Nord_DE,Spring_Barley,68877,4.134
2007,Nord_DE,Wheat,894756,6.923
2007,Nord_DE,Winter_Barley,384332,5.698
2007,Ost_DE,Oats,34373,3.412
2007,Ost_DE,Oilseed_Rape,571159,3.167
2007,Ost_DE,Spring_Barley,101004,4.518
2007,Ost_DE,Wheat,825644,6.656
2007,Ost_DE,Winter_Barley,336088,5.957
2007,Sued_DE,Oats,67505,4.345
2007,Sued_DE,Oilseed_Rape,240815,4.067
2007,Sued_DE,Spring_Barley,222847,4.27
2007,Sued_DE,Wheat,662521,7.372
2007,Sued_DE,Winter_Barley,396345,5.862
2007,West_DE,Oats,38471,4.245
2007,West_DE,Oilseed_Rape,180157,3.513
2007,West_DE,Spring_Barley,91386,4.107
2007,West_DE,Wheat,516677,7.085
2007,West_DE,Winter_Barley,290495,5.728
2008,Nord_DE,Oats,31236,4.094
2008,Nord_DE,Oilseed_Rape,503550,3.921
2008,Nord_DE,Spring_Barley,68877,4.33
2008,Nord_DE,Wheat,894756,8.762
2008,Nord_DE,Winter_Barley,385083,7.128
2008,Ost_DE,Oats,29805,3.24
2008,Ost_DE,Oilseed_Rape,571575,3.755
2008,Ost_DE,Spring_Barley,100000,4.687
2008,Ost_DE,Wheat,826359,7.804
2008,Ost_DE,Winter_Barley,336088,6.715
2008,Sued_DE,Oats,67546,4.982
2008,Sued_DE,Oilseed_Rape,240958,3.568
2008,Sued_DE,Spring_Barley,223109,4.791
2008,Sued_DE,Wheat,662521,7.399
2008,Sued_DE,Winter_Barley,396387,5.777
2008,West_DE,Oats,38200,4.927
2008,West_DE,Oilseed_Rape,181152,3.679
2008,West_DE,Spring_Barley,91402,5.176
2008,West_DE,Wheat,514332,8.503
2008,West_DE,Winter_Barley,290057,6.823
2009,Nord_DE,Oats,18266,4.986
2009,Nord_DE,Oilseed_Rape,482569,4.516
2009,Nord_DE,Spring_Barley,39441,5.164
2009,Nord_DE,Wheat,976355,8.535
2009,Nord_DE,Winter_Barley,323308,7.249
2009,Ost_DE,Oats,27861,4.704
2009,Ost_DE,Oilseed_Rape,558778,4.242
2009,Ost_DE,Spring_Barley,73504,5.135
2009,Ost_DE,Wheat,894707,7.536
2009,Ost_DE,Winter_Barley,322488,6.944
2009,Sued_DE,Oats,57065,5.26
2009,Sued_DE,Oilseed_Rape,214390,3.983
2009,Sued_DE,Spring_Barley,160539,5.166
2009,Sued_DE,Wheat,739356,7.04
2009,Sued_DE,Winter_Barley,362568,6.328
2009,West_DE,Oats,30414,5.068
2009,West_DE,Oilseed_Rape,151672,4.322
2009,West_DE,Spring_Barley,66926,5.262
2009,West_DE,Wheat,545622,8.179
2009,West_DE,Winter_Barley,267690,7.253
2010,Nord_DE,Oats,20228,4.087
2010,Nord_DE,Oilseed_Rape,484188,4.089
2010,Nord_DE,Spring_Barley,40975,4.397
2010,Nord_DE,Wheat,976971,7.812
2010,Nord_DE,Winter_Barley,324466,7.241
2010,Ost_DE,Oats,28273,3.847
2010,Ost_DE,Oilseed_Rape,557986,3.871
2010,Ost_DE,Spring_Barley,72957,4.98
2010,Ost_DE,Wheat,895570,6.869
2010,Ost_DE,Winter_Barley,311381,6.924
2010,Sued_DE,Oats,57065,4.367
2010,Sued_DE,Oilseed_Rape,212827,3.501
2010,Sued_DE,Spring_Barley,160456,4.878
2010,Sued_DE,Wheat,739356,6.682
2010,Sued_DE,Winter_Barley,362339,5.96
2010,West_DE,Oats,28952,4.486
2010,West_DE,Oilseed_Rape,150764,3.978
2010,West_DE,Spring_Barley,65639,5.271
2010,West_DE,Wheat,545531,7.627
2010,West_DE,Winter_Barley,265596,6.688
2011,Nord_DE,Oats,20228,4.446
2011,Nord_DE,Oilseed_Rape,484188,2.968
2011,Nord_DE,Spring_Barley,40975,4.916
2011,Nord_DE,Wheat,976971,7.424
2011,Nord_DE,Winter_Barley,324466,5.863
2011,Ost_DE,Oats,26689,3.525
2011,Ost_DE,Oilseed_Rape,540501,2.913
2011,Ost_DE,Spring_Barley,71748,5.188
2011,Ost_DE,Wheat,894415,6.458
2011,Ost_DE,Winter_Barley,322188,5.159
2011,Sued_DE,Oats,52437,4.809
2011,Sued_DE,Oilseed_Rape,205075,2.498
2011,Sued_DE,Spring_Barley,157688,5.171
2011,Sued_DE,Wheat,736352,7.097
2011,Sued_DE,Winter_Barley,359031,5.665
2011,West_DE,Oats,27760,4.391
2011,West_DE,Oilseed_Rape,151029,3.312
2011,West_DE,Spring_Barley,61820,4.385
2011,West_DE,Wheat,524181,7.485
2011,West_DE,Winter_Barley,262854,6.106
2012,Nord_DE,Oats,20228,5.185
2012,Nord_DE,Oilseed_Rape,484188,4.001
2012,Nord_DE,Spring_Barley,40975,5.617
2012,Nord_DE,Wheat,976971,7.903
2012,Nord_DE,Winter_Barley,324466,7.139
2012,Ost_DE,Oats,26524,4.429
2012,Ost_DE,Oilseed_Rape,558778,3.707
2012,Ost_DE,Spring_Barley,72200,5.456
2012,Ost_DE,Wheat,896673,6.991
2012,Ost_DE,Winter_Barley,322289,6.291
2012,Sued_DE,Oats,52733,5.446
2012,Sued_DE,Oilseed_Rape,203573,3.265
2012,Sued_DE,Spring_Barley,156438,5.63
2012,Sued_DE,Wheat,736352,6.95
2012,Sued_DE,Winter_Barley,360742,6.002
2012,West_DE,Oats,27198,5.794
2012,West_DE,Oilseed_Rape,150823,3.606
2012,West_DE,Spring_Barley,62817,5.745
2012,West_DE,Wheat,540512,7.538
2012,West_DE,Winter_Barley,262194,6.279
2013,Nord_DE,Oats,16382,5.079
2013,Nord_DE,Oilseed_Rape,484188,4.105
2013,Nord_DE,Spring_Barley,36905,5.802
2013,Nord_DE,Wheat,976971,8.679
2013,Nord_DE,Winter_Barley,324466,7.7
2013,Ost_DE,Oats,28763,4.283
2013,Ost_DE,Oilseed_Rape,558778,3.847
2013,Ost_DE,Spring_Barley,72643,5.117
2013,Ost_DE,Wheat,895767,7.507
2013,Ost_DE,Winter_Barley,321761,6.544
2013,Sued_DE,Oats,50706,4.512
2013,Sued_DE,Oilseed_Rape,202322,3.756
2013,Sued_DE,Spring_Barley,155863,5.386
2013,Sued_DE,Wheat,736352,7.526
2013,Sued_DE,Winter_Barley,359895,6.273
2013,West_DE,Oats,24423,5.545
2013,West_DE,Oilseed_Rape,150596,4.014
2013,West_DE,Spring_Barley,61570,5.756
2013,West_DE,Wheat,535000,8.657
2013,West_DE,Winter_Barley,239539,7.304
2014,Nord_DE,Oats,15223,4.899
2014,Nord_DE,Oilseed_Rape,411443,4.439
2014,Nord_DE,Spring_Barley,62353,6.063
2014,Nord_DE,Wheat,917174,9.299
2014,Nord_DE,Winter_Barley,326910,8.336
2014,Ost_DE,Oats,26717,4.625
2014,Ost_DE,Oilseed_Rape,530722,4.566
