Year,Region,Crop,Area_hectares,Yield_t_per_ha,Winter_Tmax,Spring_Tmax,Summer_Tmax,Autumn_Tmax,Winter_Tmin,Spring_Tmin,Summer_Tmin,Autumn_Tmin,Spring_Temp_Mean,Summer_Temp_Mean,Flowering_Temp,Grain_Filling_Temp,Summer_Tmax_Peak,Spring_Tmin_Coldest,Spring_Temp_Range,Summer_Temp_Range,Spring_GDD,Summer_GDD,Winter_Rain,Spring_Rain,Summer_Rain,Autumn_Rain,Planting_Rain,Grain_Filling_Rain,Harvest_Rain,Annual_Rain,Rain_Deviation_from_Optimal,Spring_Rain_Squared,Summer_Rain_Squared,Winter_Sun,Spring_Sun,Summer_Sun,Autumn_Sun,Grain_Filling_Sun,Flowering_Sun,Summer_Sun_per_Rain,Winter_Frost,Spring_Frost,Autumn_Frost,Late_Spring_Frost,Spring_Temp_x_Rain,Summer_Temp_x_Rain,Summer_Temp_x_Sun,Heat_Stress,Cold_Spring,Extreme_Summer_Rain,Drought_Spring
2004,Nord_DE,Spring_Barley,68901,4.852,4.432606935501099,13.109906832377115,21.42678705851237,13.555578072865805,-0.2122591336568196,4.3079235553741455,12.129287401835125,6.292231639226277,8.70891519387563,16.778037230173748,17.9752197265625,20.257768630981445,23.76482391357422,1.146190881729126,8.80198327700297,9.297499656677248,783.8023674488068,1510.0233507156372,202.4011993408203,115.76644134521484,267.41284942626953,182.70034790039065,69.59674835205078,187.35445404052737,186.46892547607425,768.2808380126953,68.28083801269531,13401.868941735069,71509.6320382767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,13.0,9.0,1.0,1008.2001199722534,4486.662743500797,0.0,1,1,0,1
2004,Ost_DE,Spring_Barley,101578,5.658,3.4544231494267783,13.320738156636557,22.5429630279541,13.585689067840576,-1.78417573372523,3.648973216613134,11.672798792521158,5.262007673581441,8.484855686624845,17.10788091023763,18.563776969909668,21.489100456237793,24.65068817138672,0.3553859889507293,9.671764940023422,10.870164235432943,763.637011796236,1539.7092819213867,145.3427276611328,125.08251953125,216.3143615722656,147.72096633911133,56.61659240722656,160.58349609375,156.01123809814453,634.4605751037598,65.53942489624023,15645.636692285538,46791.90302241687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,20.0,12.0,2.0,1061.30712714209,3700.680336952403,0.0,1,1,0,1
2004,Sued_DE,Spring_Barley,223109,5.614,2.9110238949457803,12.988768259684244,22.504318873087566,13.226451873779297,-2.873189608256022,2.500105381011963,11.526707649230955,5.184660375118256,7.744436820348104,17.015513261159263,18.628339767456055,21.828781127929688,23.85539436340332,-1.2890510559082031,10.48866287867228,10.97761122385661,696.9993138313293,1531.3961935043335,227.10712814331055,166.53839874267578,276.8745651245117,207.400390625,82.28850555419922,179.59578704833984,197.03648376464844,877.920482635498,177.92048263549805,27735.03825577447,76659.52481288748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,23.0,16.0,3.0,1289.7461072245926,4711.162834553833,0.0,1,1,0,1
2004,West_DE,Spring_Barley,91507,5.51,4.325354099273682,13.597249348958334,22.21575482686361,13.725587209065756,-0.7030497988065084,3.9692445397377014,12.108572959899902,6.146222313245137,8.783246944348019,17.162163893381752,18.68226432800293,21.364761352539062,23.917741775512695,0.5927082896232605,9.628004809220633,10.107181866963703,790.4922249913216,1544.594750404358,206.54621505737305,159.71260833740234,270.3164520263672,190.09939575195312,85.6500473022461,153.77235412597656,214.08365631103516,826.6746711730957,126.6746711730957,25508.11726193648,73070.98423612327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,18.0,10.0,1.0,1402.795279153341,4639.215252753979,0.0,1,1,0,1
2005,Nord_DE,Spring_Barley,68876,4.793,4.2657151222229,13.09276533126831,21.462093353271484,15.068186283111572,-0.3781169354915617,3.6798212826251984,11.703719774881998,6.702557484308879,8.386293306946754,16.58290656407674,19.08895206451416,21.892390251159668,23.045724868774418,-0.2766462862491607,9.412944048643112,9.758373578389486,754.7663976252079,1492.4615907669067,182.2581329345703,152.3089084625244,210.75273895263672,143.01634979248047,70.35342597961426,150.7076187133789,167.22106170654297,688.3361301422119,11.663869857788086,23198.00359704564,44416.71697603824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,19.0,10.0,2.0,1277.3071796276345,3494.892978174831,0.0,1,1,0,1
2005,Ost_DE,Spring_Barley,101548,4.717,3.091800570487976,13.730224609375,22.366687138875324,14.796956698099772,-2.0693178375562034,3.1510770320892334,11.34200382232666,5.620616475741069,8.440650820732117,16.85434548060099,20.13715648651123,22.877243995666504,23.928720474243164,-1.0766808986663818,10.579147577285768,11.024683316548664,759.6585738658905,1516.8910932540894,179.21900177001953,124.23711204528809,217.4748497009277,113.3177490234375,48.77591514587402,157.0629844665527,175.72025299072266,634.2487125396729,65.75128746032715,15434.860009353466,47295.31025244111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,26.0,14.0,7.0,1048.6420817504488,3665.396250201211,0.0,1,1,0,1
2005,Sued_DE,Spring_Barley,223109,4.508,1.780258297920227,13.568281809488932,22.271079381306965,13.841123580932615,-4.192760070164998,2.835707902908325,11.26208464304606,4.9508571326732635,8.201994856198628,16.766582012176514,20.68967342376709,23.077580451965332,23.343029022216797,-2.0133516788482666,10.732573906580608,11.008994738260904,738.1795370578766,1508.9923810958862,222.34644317626953,231.0852165222168,301.8029975891113,143.27984619140625,140.1589317321777,181.05134201049805,240.97042846679688,898.5145034790039,198.5145034790039,53400.37729511982,91085.04935377314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,23.0,15.0,6.0,1895.359757258768,5060.204710598546,0.0,1,1,0,0
2005,West_DE,Spring_Barley,90312,4.751,3.8513986269632974,14.223821957906088,22.4020201365153,15.267203172047934,-1.0162683576345444,4.516495267550151,11.578036626180014,6.852363665898641,9.37015861272812,16.990028381347656,20.381311416625977,23.07624340057373,23.602333068847656,1.387109875679016,9.707326690355938,10.823983510335289,843.3142751455307,1529.102554321289,205.07709503173828,195.9658966064453,207.27215576171875,152.1105995178223,118.25509643554688,135.2143325805664,150.8878936767578,760.4257469177246,60.42574691772461,38402.632632768014,42961.7465541102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,13.0,12.0,2.0,1836.2315338878716,3521.5598090547137,0.0,1,1,0,0
2006,Nord_DE,Spring_Barley,68976,4.614,4.012313365936279,11.64115556081136,23.83845392862956,16.588444073994953,-0.626225471496582,3.1190949281056723,12.792887369791666,8.929813226064047,7.380125244458517,18.315670649210613,19.96195697784424,25.06830883026123,28.37013053894043,-2.470350503921509,8.522060632705688,11.045566558837892,664.2112720012665,1648.410358428955,111.5997486114502,191.08818817138672,210.4107894897461,143.35531044006348,120.40462493896484,69.72431182861328,175.0547981262207,656.4540367126465,43.54596328735352,36514.6956586233,44272.700333698245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,27.0,2.0,3.0,1410.2547614414905,3853.814721334576,0.0,1,1,0,0
2006,Ost_DE,Spring_Barley,100590,4.837,2.868038376172384,12.229491551717125,24.584781010945637,16.829235712687176,-2.7383960088094077,2.7807456652323403,12.472506841023764,7.674566586812337,7.5051186084747314,18.5286439259847,20.87134552001953,26.26249599456787,29.616147994995117,-2.490811824798584,9.448745886484785,12.112274169921871,675.4606747627258,1667.577953338623,97.30874252319336,164.62408828735352,164.42694473266602,103.3941135406494,102.24772644042967,70.83398818969727,127.922664642334,529.7538890838623,170.2461109161377,27101.090444442365,27036.220154119204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,27.0,4.0,3.0,1235.523308408604,3046.608310789134,0.0,1,1,0,1
