Year,Region,Crop,Area_hectares,Yield_t_per_ha,Winter_Tmax,Spring_Tmax,Summer_Tmax,Autumn_Tmax,Winter_Tmin,Spring_Tmin,Summer_Tmin,Autumn_Tmin,Spring_Temp_Mean,Summer_Temp_Mean,Flowering_Temp,Grain_Filling_Temp,Summer_Tmax_Peak,Spring_Tmin_Coldest,Spring_Temp_Range,Summer_Temp_Range,Spring_GDD,Summer_GDD,Winter_Rain,Spring_Rain,Summer_Rain,Autumn_Rain,Planting_Rain,Grain_Filling_Rain,Harvest_Rain,Annual_Rain,Rain_Deviation_from_Optimal,Spring_Rain_Squared,Summer_Rain_Squared,Winter_Sun,Spring_Sun,Summer_Sun,Autumn_Sun,Grain_Filling_Sun,Flowering_Sun,Summer_Sun_per_Rain,Winter_Frost,Spring_Frost,Autumn_Frost,Late_Spring_Frost,Spring_Temp_x_Rain,Summer_Temp_x_Rain,Summer_Temp_x_Sun,Heat_Stress,Cold_Spring,Extreme_Summer_Rain,Drought_Spring,Country
2004,Ireland,Winter_Barley,20510,8.2,8.59975290298462,12.897001584370932,18.591262181599934,13.308893521626791,2.3208552598953247,5.1045792897542315,10.973522186279297,7.615934054056804,9.000790437062582,14.782392183939615,12.88361406326294,14.358406066894531,19.306758880615234,3.167159080505371,7.7924222946167,7.617739995320637,360.0711393356323,880.4152965545654,181.17304229736328,222.54182052612305,266.894229888916,341.8684539794922,341.8684539794922,150.59283828735352,177.6816062927246,1121.6161575317383,21.61615753173828,49524.86188308116,71232.52994799755,102.77001190185547,567.6533508300781,674.9634704589844,259.062931060791,475.9390411376953,501.8574981689453,2.528954899998815,17.0,3.0,1.0,0.0,2003.0522900380258,3945.335177848495,9977.574730157648,0,0,0.0,0.0,Ireland
2005,Ireland,Winter_Barley,17020,7.4,8.48856528600057,12.56817595163981,18.85725975036621,13.8965482711792,3.416431506474813,5.247867425282796,11.496498743693033,7.6397379239400225,8.908021688461304,15.176879247029621,12.46000337600708,15.1193368434906,19.294166564941406,4.616209506988525,7.320308526357015,7.360761006673178,351.72195196151733,915.919132232666,287.117431640625,273.8712387084961,184.76235580444336,346.5917663574219,346.5917663574219,110.48716354370117,136.67091369628906,1092.3427925109863,7.657207489013672,75005.45539172605,34137.128122407725,119.3517017364502,550.3804016113281,658.3762512207031,254.1902084350586,457.65826416015625,483.0061492919922,3.5633679185036122,10.0,4.0,0.0,0.0,2439.650934261046,2804.1159634407595,9992.09686388865,0,0,0.0,0.0,Ireland
2006,Ireland,Winter_Barley,15100,7.9,8.495209693908691,11.900330225626627,19.831546783447266,14.63860829671224,3.1211136182149253,4.79011869430542,11.422283808390299,8.248258113861084,8.345224459966023,15.626915295918781,12.776932001113892,15.848219871520996,21.55438804626465,2.7227835655212402,7.110211531321207,8.409262975056967,301.07020139694214,956.4223766326904,314.7354049682617,288.96010971069336,157.5469627380371,483.9310302734375,483.9310302734375,87.23134231567383,130.1523094177246,1245.1735076904297,145.1735076904297,83497.94500401594,24821.045467980453,118.39452362060547,542.7754440307617,723.5906372070312,273.7922134399414,535.2847900390625,501.87742614746094,4.592856787789615,11.0,10.0,1.0,0.0,2411.436975512144,2461.9730418365784,11307.489596554175,0,0,0.0,0.0,Ireland
2007,Ireland,Winter_Barley,18730,7.6,9.407054583231607,13.829798698425293,18.022254308064777,14.48295783996582,3.464595635732015,5.354133685429891,10.813579877217611,8.164589564005533,9.591966191927591,14.417917092641193,12.65643858909607,14.269376277923584,18.165678024291992,3.1607072353363037,8.475665012995403,7.208674430847166,413.2769572734833,847.6125383377075,402.1516647338867,199.88619804382324,374.91956329345703,211.96449279785156,211.96449279785156,267.66876220703125,246.13550567626953,1188.9219188690186,88.92191886901855,39954.49216841452,140564.67894015653,121.39790153503418,606.8473205566406,655.9164581298828,264.8085517883301,456.84779357910156,480.2316589355469,1.7494858160188453,14.0,1.0,1.0,0.0,1917.3016538692955,5405.559179974306,9456.94911301551,0,0,74.91956329345703,0.0,Ireland
2008,Ireland,Winter_Barley,21130,8.6,8.762344360351562,12.954849243164062,17.79181416829427,12.763077735900879,2.6187806526819863,5.062707503636678,10.980035781860352,6.502113660176595,9.00877837340037,14.38592497507731,13.016865491867065,14.06436276435852,18.470195770263672,2.6425511837005615,7.892141739527385,6.811778386433918,360.7900536060333,844.733247756958,372.51990509033203,231.57336807250977,421.7665328979492,399.7083511352539,399.7083511352539,241.84578704833984,298.1129455566406,1425.568157196045,325.5681571960449,53626.224800446085,177887.00827275688,124.12307739257812,587.6267166137695,627.9546051025391,259.0953178405762,462.9116973876953,506.41795349121094,1.4888677885081962,20.0,5.0,4.0,0.0,2086.1931501471095,6067.501699268374,9033.707836759426,0,0,121.76653289794922,0.0,Ireland
2009,Ireland,Winter_Barley,19320,8.5,7.114122231801351,12.698688189188639,18.29793421427409,13.778048833211264,1.364692250887553,5.4107779661814375,11.053844134012857,7.507359504699707,9.054733077685038,14.675889174143474,12.724277257919312,14.609182357788086,18.886425018310547,3.7000033855438232,7.287910223007201,7.244090080261232,364.92597699165344,870.8300256729126,309.9752998352051,296.6361541748047,417.46022033691406,468.1341209411621,468.1341209411621,249.61444091796875,341.6940155029297,1492.205795288086,392.20579528808594,87993.0079636185,174273.03556374484,116.56547737121582,571.2629852294922,703.622802734375,261.4505157470703,514.1671447753906,528.5224456787109,1.6854846724473809,31.0,2.0,3.0,0.0,2685.9611972438825,6126.599928278067,10326.290273329903,0,0,117.46022033691406,0.0,Ireland
2010,Ireland,Winter_Barley,28840,8.5,5.019052664438884,12.60560671488444,18.344083786010742,12.821595827738443,-1.191202958424886,3.9595113595326743,11.210086186726889,7.137662967046102,8.282559037208557,14.777084986368816,12.615671396255493,15.02969479560852,18.855066299438477,1.5766308307647705,8.646095355351765,7.133997599283854,295.43031334877014,879.9376487731934,171.8909149169922,198.98770141601562,222.22557067871094,338.0601119995117,338.0601119995117,178.33038330078125,174.21604919433594,931.1642990112305,168.83570098876953,39596.10531482939,49384.20426347875,128.3456687927246,596.2726135253906,682.0326843261719,272.73343658447266,479.0385437011719,527.1636047363281,3.0691008340900625,54.0,11.0,7.0,0.0,1648.1273846565782,3283.8461440636215,10078.454939769097,0,0,0.0,0.0,Ireland
2011,Ireland,Winter_Barley,35860,9.1,8.021117687225342,13.271773338317871,16.75552527109782,13.95318635304769,3.4461690187454224,6.061492125193278,9.69324779510498,9.560712973276773,9.666632731755575,13.2243865331014,11.609737873077393,13.032394170761108,17.51668357849121,2.8870301246643066,7.210281213124593,7.06227747599284,419.9969458580017,740.194787979126,325.8638610839844,176.63604736328125,213.4888801574707,366.6833267211914,366.6833267211914,154.6257781982422,110.20588302612305,1082.6721153259277,17.327884674072266,31200.293228123337,45577.50195089089,120.03576469421387,579.7685546875,663.9994049072266,250.44129180908203,475.2488555908203,484.9149932861328,3.110229462150237,15.0,4.0,0.0,0.0,1707.4757970498226,2823.259471721354,8780.984788242471,0,0,0.0,0.0,Ireland
2012,Ireland,Winter_Barley,41010,7.8,8.638224283854166,12.430043538411459,17.169309933980305,12.126089731852213,5.008098363876343,5.482738176981608,11.177703857421875,6.827005227406819,8.956390857696533,14.17350689570109,11.83831536769867,13.421492576599121,18.65340232849121,3.6216535568237305,6.947305361429851,5.99160607655843,356.075177192688,825.6156206130981,256.55551528930664,153.64620780944824,400.2527389526367,288.1923065185547,288.1923065185547,285.5100631713867,221.2834243774414,1098.6467685699463,1.353231430053711,23607.157174224154,160202.25503908755,116.5531997680664,561.572998046875,608.7566680908203,269.56859588623047,408.72462463378906,445.0708923339844,1.5209306741629982,6.0,1.0,3.0,0.0,1376.115490944284,5672.984955568445,8628.216832989261,0,0,100.25273895263672,0.0,Ireland
2013,Ireland,Winter_Barley,35980,9.5,8.349705855051676,10.473878542582193,19.555686950683594,13.744322776794434,2.7759546438852944,3.600909928480784,11.329529444376627,7.522038698196411,7.0373942355314885,15.44260819753011,11.730612397193909,15.409238338470459,22.138999938964844,0.8153886198997498,6.87296861410141,8.226157506306967,219.97713446617126,939.83473777771,407.0892105102539,251.5376434326172,212.60877990722656,297.76867294311523,297.76867294311523,147.11968994140625,144.90235900878906,1169.004306793213,69.00430679321289,63271.186063634465,45202.493293639505,114.01724243164062,548.8285064697266,724.5299530029297,254.36325454711914,524.6208648681641,496.2749481201172,3.4078082444153237,13.0,18.0,2.0,0.0,1770.1695619118752,3283.234087462212,11188.632191599147,0,0,0.0,0.0,Ireland
