Year,Region,Country,Crop,Area_hectares,Yield_t_per_ha,Winter_Tmax,Spring_Tmax,Summer_Tmax,Autumn_Tmax,Winter_Tmin,Spring_Tmin,Summer_Tmin,Autumn_Tmin,Spring_Temp_Mean,Summer_Temp_Mean,Flowering_Temp,Grain_Filling_Temp,Summer_Tmax_Peak,Spring_Tmin_Coldest,Spring_Temp_Range,Summer_Temp_Range,Spring_GDD,Summer_GDD,Winter_Rain,Spring_Rain,Summer_Rain,Autumn_Rain,Planting_Rain,Grain_Filling_Rain,Harvest_Rain,Annual_Rain,Rain_Deviation_from_Optimal,Spring_Rain_Squared,Summer_Rain_Squared,Winter_Sun,Spring_Sun,Summer_Sun,Autumn_Sun,Grain_Filling_Sun,Flowering_Sun,Summer_Sun_per_Rain,Winter_Frost,Spring_Frost,Autumn_Frost,Late_Spring_Frost,Spring_Temp_x_Rain,Summer_Temp_x_Rain,Summer_Temp_x_Sun,Heat_Stress,Cold_Spring,Extreme_Summer_Rain,Drought_Spring
2004,England,UK,Wheat,1864591,7.7,7.966666666666668,13.233333333333334,20.4,14.166666666666666,2.1,4.8999999999999995,11.533333333333331,7.4,9.066666666666666,15.966666666666663,13.475,16.375,21.4,2.6,8.333333333333336,8.866666666666665,12.2,32.900000000000006,220.5,169.10000000000002,270.0,230.4,230.4,213.9,200.3,889.9999999999999,30.33416053869223,28594.81000000001,72900.0,191.6,446.9,543.7,304.5,343.4,404.7000000000001,2.013703703703704,29.299999999999997,6.8,4.4,0.9,1533.1733333333334,4311.0,11091.48,0,0,0,0
2005,England,UK,Wheat,1748414,7.9,7.599999999999999,12.866666666666667,20.533333333333335,14.966666666666669,1.7,4.766666666666667,11.1,7.533333333333332,8.816666666666666,15.816666666666666,13.075,16.175,20.9,3.4,8.100000000000001,9.433333333333335,11.45,32.449999999999996,166.0,161.3,174.5,243.8,243.8,120.8,120.7,745.6,174.7341605386921,26017.69,30450.25,189.3,441.9,576.4,325.3,386.0,406.1,3.3031518624641834,27.299999999999997,11.3,11.5,3.1999999999999997,1422.128333333333,2760.008333333333,11835.413333333334,0,0,0,0
2006,England,UK,Wheat,1709042,8.0,7.2,12.133333333333336,22.03333333333333,16.099999999999998,2.0,4.333333333333333,11.866666666666667,8.666666666666668,8.233333333333334,16.95,13.675,17.65,25.2,1.3,7.800000000000002,10.166666666666664,10.1,35.85,191.9,224.3,152.9,275.3,275.3,128.9,161.2,844.4,75.93416053869214,50310.490000000005,23378.410000000003,165.4,429.7,667.4,345.29999999999995,440.2000000000001,399.4,4.364944408109875,26.1,16.200000000000003,3.4,3.8,1846.736666666667,2591.655,14705.046666666663,0,0,0,0
2007,England,UK,Wheat,1690984,7.2,8.733333333333333,14.433333333333332,19.4,14.366666666666667,2.766666666666667,5.366666666666667,10.866666666666664,6.666666666666667,9.9,15.133333333333333,13.275,15.3,20.0,2.9,9.066666666666665,8.533333333333337,14.7,30.4,275.7,173.9,324.4,159.3,159.3,178.6,98.0,933.3,12.965839461307837,30241.210000000003,105235.36,182.7,535.0,532.7,329.5,381.8,314.9,1.6421085080147968,23.0,4.0,5.8,0.7,1721.61,4909.253333333333,10334.380000000005,0,0,0,0
2008,England,UK,Wheat,1934708,8.3,8.333333333333334,13.033333333333331,19.633333333333336,13.366666666666667,1.633333333333333,4.7,11.266666666666666,6.366666666666667,8.866666666666665,15.45,13.475,16.175,20.6,2.4,8.333333333333332,8.36666666666667,11.6,31.35,225.2,218.1,265.6,272.4,272.4,206.5,202.2,981.3,60.96583946130784,47567.61,70543.36000000002,232.5,465.0,505.2000000000001,297.0,305.3,393.4,1.90210843373494,29.6,11.9,7.1,5.8,1933.8199999999997,4103.52,9918.760000000002,0,0,0,0
2009,England,UK,Wheat,1653087,7.9,6.133333333333333,13.866666666666667,20.266666666666666,14.733333333333334,0.4333333333333333,4.866666666666667,11.166666666666666,7.666666666666667,9.366666666666667,15.716666666666663,13.2,16.299999999999997,21.0,2.5,9.0,9.1,13.1,32.150000000000006,228.0,135.0,242.9,268.5,268.5,188.0,89.5,874.4,45.93416053869214,18225.0,59000.41,174.60000000000002,542.2,558.8,303.29999999999995,357.7,416.4,2.3005351996706462,42.400000000000006,6.3999999999999995,0.6,0.6,1264.5,3817.578333333333,11325.013333333332,0,0,0,1
2010,England,UK,Wheat,1791900,7.6,3.9666666666666663,13.0,20.500000000000004,13.166666666666666,-1.7,3.733333333333333,11.1,6.166666666666667,8.366666666666667,15.8,12.775,16.200000000000003,21.6,1.9,9.266666666666667,9.400000000000004,10.1,32.400000000000006,175.9,112.8,194.7,243.1,243.1,158.3,175.8,726.5000000000001,193.834160538692,12723.84,37908.09,165.0,527.4000000000001,547.4000000000001,317.20000000000005,309.6,441.1,2.81150487930149,57.3,14.4,11.9,4.4,943.76,3076.26,11221.700000000004,0,0,0,1
2011,England,UK,Wheat,1816560,7.7,7.9,14.8,19.366666666666667,15.800000000000002,2.3666666666666667,5.266666666666667,10.166666666666666,8.5,10.033333333333331,14.766666666666666,12.975,15.2,19.8,2.2,9.533333333333331,9.2,15.1,29.3,260.3,79.19999999999999,207.5,165.8,165.8,137.6,132.5,712.8000000000001,207.53416053869205,6272.6399999999985,43056.25,148.4,557.7,517.7,325.7,321.79999999999995,400.9,2.4949397590361446,21.9,8.100000000000001,1.2,0.7,794.6399999999999,3064.083333333333,10026.123333333337,0,0,0,1
2012,England,UK,Wheat,1856229,6.7,7.666666666666667,13.3,19.066666666666663,13.199999999999998,1.5,4.466666666666667,11.0,5.8999999999999995,8.883333333333333,15.033333333333331,12.45,15.85,20.8,3.1,8.833333333333332,8.066666666666666,11.65,30.1,242.7,216.9,351.29999999999995,315.0,315.0,203.1,178.0,1125.9,205.56583946130797,47045.61,123411.68999999996,198.7,488.9,440.4,322.2,322.2,312.0,1.2536293766011957,32.3,7.7,6.300000000000001,5.2,1926.795,5281.209999999999,8396.96,0,0,1,0
2013,England,UK,Wheat,1504571,7.4,6.933333333333334,10.6,21.066666666666663,14.166666666666666,1.3,2.733333333333333,11.2,7.133333333333333,6.666666666666666,16.133333333333333,11.900000000000002,17.4,23.6,-0.3,7.866666666666667,9.866666666666664,7.4,33.400000000000006,238.9,168.3,149.5,256.1,256.1,113.9,111.7,812.8,107.53416053869216,28324.890000000003,22350.25,169.89999999999998,432.5,639.8000000000001,289.70000000000005,457.2000000000001,371.1,4.279598662207358,31.299999999999997,26.6,5.4,8.6,1122.0,2411.9333333333334,13478.453333333337,0,1,0,0
