Year,Month,Region,Rainfall,Tmin,Tmax,Frost,Sunshine
2004,1,England,112.8,2.1,7.7,9.3,51.1
2004,1,Northern Ireland,132.2,2.2,7.5,7.2,34.7
2004,1,Scotland,204.2,0.8,5.8,13.0,29.2
2004,1,Wales,192.7,2.2,7.6,9.1,37.5
2004,2,England,48.9,2.2,7.9,11.1,87.0
2004,2,Northern Ireland,50.9,1.1,8.1,12.5,102.3
2004,2,Scotland,109.1,-0.3,6.3,16.6,81.2
2004,2,Wales,119.9,1.5,7.4,12.6,96.5
2004,3,England,48.2,2.6,9.9,5.9,106.5
2004,3,Northern Ireland,86.8,2.4,9.9,5.6,124.5
2004,3,Scotland,98.3,1.2,8.2,9.4,109.4
2004,3,Wales,90.1,2.2,9.2,8.1,116.7
2004,4,England,78.2,5.1,13.2,0.8,136.0
2004,4,Northern Ireland,78.9,4.7,12.0,0.6,135.9
2004,4,Scotland,122.9,4.1,10.8,2.0,104.1
2004,4,Wales,81.5,5.1,12.0,0.9,116.9
2004,5,England,42.7,7.0,16.6,0.1,204.4
2004,5,Northern Ireland,48.3,6.3,15.4,0.0,183.3
2004,5,Scotland,61.4,5.6,14.2,0.8,182.9
2004,5,Wales,66.5,6.4,15.7,0.2,204.8
2004,6,England,56.1,10.5,19.8,0.0,200.3
2004,6,Northern Ireland,109.2,10.0,17.8,0.0,134.3
2004,6,Scotland,131.2,8.6,15.6,0.0,118.1
2004,6,Wales,74.1,10.1,18.2,0.0,186.2
2004,7,England,66.7,11.1,20.0,0.0,167.7
2004,7,Northern Ireland,62.2,10.0,17.5,0.0,134.4
2004,7,Scotland,75.3,9.1,16.5,0.0,131.5
2004,7,Wales,78.8,10.7,18.0,0.0,148.2
2004,8,England,147.2,13.0,21.4,0.0,175.7
2004,8,Northern Ireland,114.1,11.7,18.9,0.0,135.5
2004,8,Scotland,189.2,10.9,17.9,0.0,145.6
2004,8,Wales,157.1,12.3,19.9,0.0,159.8
2004,9,England,53.1,10.4,18.6,0.0,159.1
2004,9,Northern Ireland,105.6,10.0,16.4,0.0,113.5
2004,9,Scotland,174.8,8.3,15.1,0.0,118.2
2004,9,Wales,145.1,10.4,17.2,0.0,130.1
2004,10,England,130.9,7.1,13.7,0.0,95.6
2004,10,Northern Ireland,133.4,5.2,11.7,1.2,81.0
2004,10,Scotland,204.6,4.9,10.5,1.3,59.3
2004,10,Wales,257.0,6.6,12.7,0.0,89.9
2004,11,England,46.4,4.7,10.2,4.4,49.8
2004,11,Northern Ireland,60.7,5.7,10.2,1.8,34.8
2004,11,Scotland,121.6,3.3,8.7,5.9,41.0
2004,11,Wales,90.5,5.0,10.0,3.6,36.8
2004,12,England,58.8,2.0,8.3,8.9,53.5
2004,12,Northern Ireland,107.1,2.7,8.8,5.9,37.7
2004,12,Scotland,192.0,1.4,7.4,11.6,33.1
2004,12,Wales,132.9,3.0,8.5,6.2,46.6
2005,1,England,58.5,2.8,8.6,4.7,57.9
2005,1,Northern Ireland,135.3,3.1,8.6,4.5,35.9
2005,1,Scotland,240.0,1.6,7.1,9.5,32.1
2005,1,Wales,124.0,3.3,8.4,3.8,44.8
2005,2,England,45.9,1.3,6.8,10.5,72.2
2005,2,Northern Ireland,60.1,1.6,7.3,7.5,68.5
2005,2,Scotland,109.8,0.4,5.5,13.4,63.4
2005,2,Wales,78.3,1.0,6.5,12.0,67.5
2005,3,England,48.2,3.4,10.1,8.1,79.2
2005,3,Northern Ireland,76.6,4.0,10.5,5.9,89.6
2005,3,Scotland,112.4,2.5,8.4,9.5,84.1
2005,3,Wales,74.8,3.6,9.7,7.9,81.5
2005,4,England,68.0,4.4,12.9,2.3,147.0
2005,4,Northern Ireland,92.2,3.8,11.7,1.7,140.4
2005,4,Scotland,121.9,3.0,10.3,4.7,148.0
2005,4,Wales,114.7,4.4,12.0,2.4,141.6
2005,5,England,45.1,6.5,15.6,0.9,215.7
2005,5,Northern Ireland,102.5,5.5,13.9,0.5,182.6
2005,5,Scotland,115.9,4.2,12.4,3.4,182.1
2005,5,Wales,63.0,6.1,14.6,1.3,208.0
2005,6,England,53.7,10.3,19.9,0.0,190.4
2005,6,Northern Ireland,56.0,10.3,17.8,0.0,124.8
2005,6,Scotland,104.0,8.7,16.2,0.2,131.6
2005,6,Wales,74.6,10.1,18.4,0.0,172.2
2005,7,England,62.9,12.1,20.8,0.0,176.1
2005,7,Northern Ireland,46.1,11.3,18.7,0.0,117.7
2005,7,Scotland,48.5,9.7,17.3,0.0,142.4
2005,7,Wales,87.6,11.6,19.5,0.0,174.2
2005,8,England,57.9,10.9,20.9,0.0,209.9
2005,8,Northern Ireland,91.0,10.7,18.3,0.0,127.5
2005,8,Scotland,135.2,9.4,16.9,0.0,140.0
2005,8,Wales,69.7,10.4,19.3,0.0,201.5
2005,9,England,62.8,10.5,19.3,0.0,152.1
2005,9,Northern Ireland,89.3,9.8,16.9,0.0,100.4
2005,9,Scotland,138.4,8.6,15.4,0.1,99.6
2005,9,Wales,101.7,10.1,18.0,0.0,133.6
2005,10,England,106.0,9.7,15.9,0.0,80.5
2005,10,Northern Ireland,129.7,8.2,14.0,0.0,65.2
2005,10,Scotland,183.2,7.0,12.5,0.5,56.6
2005,10,Wales,216.7,9.4,14.7,0.0,74.3
2005,11,England,75.0,2.4,9.7,11.5,92.7
2005,11,Northern Ireland,82.7,2.7,9.5,6.6,72.8
2005,11,Scotland,171.8,1.6,7.8,11.3,53.2
2005,11,Wales,185.4,2.3,9.5,12.0,75.2
2005,12,England,61.6,1.0,7.4,12.1,59.2
2005,12,Northern Ireland,112.5,2.6,8.1,7.3,31.7
2005,12,Scotland,97.7,1.0,6.4,11.6,27.5
2005,12,Wales,113.3,1.9,7.6,9.7,42.0
2006,1,England,29.9,1.6,6.5,10.0,50.6
2006,1,Northern Ireland,51.3,1.9,7.6,7.4,40.1
2006,1,Scotland,108.2,0.6,6.0,12.0,33.7
2006,1,Wales,65.5,1.4,6.5,12.9,60.3
2006,2,England,52.5,0.9,6.3,10.3,68.4
2006,2,Northern Ireland,46.7,1.2,7.8,10.5,85.6
2006,2,Scotland,85.3,0.0,5.9,13.6,62.5
2006,2,Wales,79.9,0.8,5.9,11.6,62.9
2006,3,England,80.9,1.3,7.9,12.4,98.6
2006,3,Northern Ireland,142.7,1.5,8.3,10.3,90.6
2006,3,Scotland,135.3,-0.5,5.4,16.7,70.6
2006,3,Wales,173.8,1.4,7.4,11.8,85.0
2006,4,England,42.6,4.2,12.4,3.7,158.9
