Year,Region,Crop,Area_hectares,Yield_t_per_ha,Production_tonnes
2004,England,Wheat,1864591,7.7,14357350.700000001
2005,England,Wheat,1748414,7.9,13812470.600000001
2006,England,Wheat,1709042,8.0,13672336.0
2007,England,Wheat,1690984,7.2,12175084.8
2008,England,Wheat,1934708,8.3,16058076.400000002
2009,England,Wheat,1653087,7.9,13059387.3
2010,England,Wheat,1791900,7.6,13618440.0
2011,England,Wheat,1816560,7.7,13987512.0
2012,England,Wheat,1856229,6.7,12436734.3
2013,England,Wheat,1504571,7.4,11133825.4
2014,England,Wheat,1796730,8.6,15451878.0
2015,England,Wheat,1692939,9.0,15236451.0
2016,England,Wheat,1683717,7.9,13301364.3
2017,England,Wheat,1652143,8.3,13712786.9
2018,England,Wheat,1618871,7.8,12627193.799999999
2019,England,Wheat,1676833,9.0,15091497.0
2020,England,Wheat,1265111,6.9,8729265.9
2021,England,Wheat,1654867,7.8,12907962.6
2022,England,Wheat,1667962,8.6,14344473.2
2023,England,Wheat,1579618,8.1,12794905.799999999
2024,England,Wheat,1401946,7.2,10094011.200000001
2004,Wales,Wheat,15423,7.5,115672.5
2005,Wales,Wheat,14812,7.1,105165.2
2006,Wales,Wheat,15524,6.4,99353.6
2007,Wales,Wheat,12989,6.6,85727.4
2008,Wales,Wheat,19600,6.8,133280.0
2009,Wales,Wheat,19646,7.1,139486.6
2010,Wales,Wheat,24347,7.1,172863.69999999998
2011,Wales,Wheat,25843,7.5,193822.5
2012,Wales,Wheat,25614,5.8,148561.19999999998
2013,Wales,Wheat,15133,6.5,98364.5
2014,Wales,Wheat,21486,7.6,163293.6
2015,Wales,Wheat,21835,8.1,176863.5
2016,Wales,Wheat,21410,7.3,156293.0
2017,Wales,Wheat,21468,7.4,158863.2
2018,Wales,Wheat,22179,6.9,153035.1
2019,Wales,Wheat,23352,8.1,189151.19999999998
2020,Wales,Wheat,21512,6.3,135525.6
2021,Wales,Wheat,23223,7.4,171850.2
2022,Wales,Wheat,26373,7.9,208346.7
2023,Wales,Wheat,24801,7.3,181047.3
2024,Wales,Wheat,22741,6.6,150090.6
2004,Scotland,Wheat,101126,8.6,869683.6
2005,Scotland,Wheat,95595,8.6,822117.0
2006,Scotland,Wheat,99681,8.5,847288.5
2007,Scotland,Wheat,102744,8.1,832226.3999999999
2008,Scotland,Wheat,113797,8.3,944515.1000000001
2009,Scotland,Wheat,92482,8.1,749104.2
2010,Scotland,Wheat,111436,8.2,913775.2
2011,Scotland,Wheat,115412,8.1,934837.2
2012,Scotland,Wheat,100637,6.7,674267.9
2013,Scotland,Wheat,86840,7.5,651300.0
2014,Scotland,Wheat,109023,9.1,992109.2999999999
2015,Scotland,Wheat,109562,9.3,1018926.6000000001
2016,Scotland,Wheat,109594,8.5,931549.0
2017,Scotland,Wheat,109489,8.1,886860.8999999999
2018,Scotland,Wheat,99778,6.8,678490.4
2019,Scotland,Wheat,107480,8.7,935075.9999999999
2020,Scotland,Wheat,93538,8.6,804426.7999999999
2021,Scotland,Wheat,104571,8.5,888853.5
2022,Scotland,Wheat,110187,9.1,1002701.7
2023,Scotland,Wheat,107166,9.2,985927.2
2024,Scotland,Wheat,98055,8.4,823662.0
2004,Northern Ireland,Wheat,8634,7.5,64755.0
2005,Northern Ireland,Wheat,8407,7.4,62211.8
2006,Northern Ireland,Wheat,8720,7.6,66272.0
2007,Northern Ireland,Wheat,9165,7.4,67821.0
2008,Northern Ireland,Wheat,12105,7.9,95629.5
2009,Northern Ireland,Wheat,10122,7.2,72878.40000000001
2010,Northern Ireland,Wheat,10895,8.2,89338.99999999999
2011,Northern Ireland,Wheat,11567,7.8,90222.59999999999
2012,Northern Ireland,Wheat,9395,6.0,56370.0
2013,Northern Ireland,Wheat,7968,7.3,58166.4
2014,Northern Ireland,Wheat,8498,7.5,63735.0
2015,Northern Ireland,Wheat,7976,8.0,63808.0
2016,Northern Ireland,Wheat,8616,7.0,60312.0
2017,Northern Ireland,Wheat,8730,7.7,67221.0
2018,Northern Ireland,Wheat,6845,7.0,47915.0
2019,Northern Ireland,Wheat,8104,7.5,60780.0
2020,Northern Ireland,Wheat,7004,7.0,49028.0
2021,Northern Ireland,Wheat,7734,8.2,63418.799999999996
2022,Northern Ireland,Wheat,8625,7.4,63825.0
2023,Northern Ireland,Wheat,8309,6.6,54839.399999999994
2024,Northern Ireland,Wheat,8029,7.1,57005.899999999994
2004,England,Barley,642362,5.8,3725699.6
2005,England,Barley,595527,5.9,3513609.3000000003
2006,England,Barley,565030,5.9,3333677.0
2007,England,Barley,576921,5.5,3173065.5
2008,England,Barley,664856,6.1,4055621.5999999996
2009,England,Barley,759806,5.9,4482855.4
2010,England,Barley,586026,5.7,3340348.2
2011,England,Barley,614502,5.6,3441211.1999999997
2012,England,Barley,622787,5.7,3549885.9
2013,England,Barley,827707,5.9,4883471.300000001
2014,England,Barley,708703,6.5,4606569.5
2015,England,Barley,748464,6.9,5164401.600000001
2016,England,Barley,791254,6.0,4747524.0
2017,England,Barley,842460,6.1,5139006.0
2018,England,Barley,806735,5.7,4598389.5
2019,England,Barley,831851,7.0,5822957.0
2020,England,Barley,1044989,5.6,5851938.399999999
2021,England,Barley,816149,6.0,4896894.0
2022,England,Barley,782081,6.6,5161734.6
2023,England,Barley,799289,6.0,4795734.0
2024,England,Barley,849088,5.7,4839801.600000001
2004,Wales,Barley,24266,5.2,126183.2
2005,Wales,Barley,21766,5.1,111006.59999999999
2006,Wales,Barley,19129,5.0,95645.0
2007,Wales,Barley,19515,5.1,99526.5
2008,Wales,Barley,21549,5.2,112054.8
2009,Wales,Barley,24275,5.5,133512.5
2010,Wales,Barley,20437,5.4,110359.8
2011,Wales,Barley,22780,5.7,129846.0
2012,Wales,Barley,21825,4.9,106942.50000000001
2013,Wales,Barley,20394,5.6,114206.4
2014,Wales,Barley,20683,5.6,115824.79999999999
2015,Wales,Barley,22062,6.0,132372.0
2016,Wales,Barley,21889,5.6,122578.4
2017,Wales,Barley,21789,5.3,115481.7
2018,Wales,Barley,22686,5.1,115698.59999999999
2019,Wales,Barley,19795,6.5,128667.5
2020,Wales,Barley,20636,5.4,111434.40000000001
2021,Wales,Barley,20587,5.9,121463.3
2022,Wales,Barley,21422,6.2,132816.4
2023,Wales,Barley,19960,5.4,107784.0
2024,Wales,Barley,24013,5.3,127268.9
2004,Scotland,Barley,313810,5.9,1851479.0
2005,Scotland,Barley,294639,5.9,1738370.1
2006,Scotland,Barley,274401,6.1,1673846.0999999999
2007,Scotland,Barley,278644,6.0,1671864.0
2008,Scotland,Barley,319934,5.9,1887610.6
2009,Scotland,Barley,332160,5.7,1893312.0
2010,Scotland,Barley,290374,5.7,1655131.8
2011,Scotland,Barley,308425,5.8,1788865.0
2012,Scotland,Barley,332039,5.2,1726602.8
2013,Scotland,Barley,339138,5.9,2000914.2000000002
2014,Scotland,Barley,326884,6.3,2059369.2
2015,Scotland,Barley,307686,6.3,1938421.8
2016,Scotland,Barley,286930,5.7,1635501.0
2017,Scotland,Barley,291347,6.1,1777216.7
2018,Scotland,Barley,288017,5.7,1641696.9000000001
2019,Scotland,Barley,290893,6.7,1948983.1
2020,Scotland,Barley,301793,6.9,2082371.7000000002
2021,Scotland,Barley,292167,6.1,1782218.7
2022,Scotland,Barley,290376,6.8,1974556.8
2023,Scotland,Barley,295821,6.5,1922836.5
2024,Scotland,Barley,300380,6.6,1982508.0
2004,Northern Ireland,Barley,27011,5.1,137756.09999999998
2005,Northern Ireland,Barley,25740,4.6,118403.99999999999
2006,Northern Ireland,Barley,22825,5.0,114125.0
2007,Northern Ireland,Barley,22817,5.2,118648.40000000001
2008,Northern Ireland,Barley,25694,5.1,131039.4
2009,Northern Ireland,Barley,26745,5.2,139074.0
2010,Northern Ireland,Barley,24325,5.7,138652.5
