Year,Crop,Yield_t_per_ha,Annual_Temp_C,Annual_Rainfall_mm
2004,Wheat,7.8,9.44,1207.3
2005,Wheat,8.0,9.41,1079.6
2006,Wheat,8.0,9.7,1171.6
2007,Wheat,7.2,9.56,1192.5
2008,Wheat,8.3,9.02,1292.9
2009,Wheat,7.9,9.14,1207.9
2010,Wheat,7.7,7.94,945.9
2011,Wheat,7.7,9.61,1162.7
2012,Wheat,6.7,8.74,1329.6
2013,Wheat,7.4,8.74,1084.0
2014,Wheat,8.6,9.88,1291.8
2015,Wheat,9.0,9.18,1264.2
2016,Wheat,7.9,9.29,1096.0
2017,Wheat,8.3,9.53,1118.4
2018,Wheat,7.8,9.45,1053.1
2019,Wheat,8.9,9.39,1232.0
2020,Wheat,7.0,9.62,1333.5
2021,Wheat,7.8,9.28,1105.9
2022,Wheat,8.6,10.03,1091.7
2023,Wheat,8.1,9.97,1323.3
2024,Wheat,7.3,9.79,1273.0
2004,Barley,5.8,9.44,1207.3
2005,Barley,5.9,9.41,1079.6
2006,Barley,5.9,9.7,1171.6
2007,Barley,5.7,9.56,1192.5
2008,Barley,6.0,9.02,1292.9
2009,Barley,5.8,9.14,1207.9
2010,Barley,5.7,7.94,945.9
2011,Barley,5.7,9.61,1162.7
2012,Barley,5.5,8.74,1329.6
2013,Barley,5.8,8.74,1084.0
2014,Barley,6.4,9.88,1291.8
2015,Barley,6.7,9.18,1264.2
2016,Barley,5.9,9.29,1096.0
2017,Barley,6.1,9.53,1118.4
2018,Barley,5.7,9.45,1053.1
2019,Barley,6.9,9.39,1232.0
2020,Barley,5.9,9.62,1333.5
2021,Barley,6.1,9.28,1105.9
2022,Barley,6.6,10.03,1091.7
2023,Barley,6.1,9.97,1323.3
2024,Barley,5.9,9.79,1273.0
2004,Oats,5.8,9.44,1207.3
2005,Oats,5.8,9.41,1079.6
2006,Oats,6.0,9.7,1171.6
2007,Oats,5.5,9.56,1192.5
2008,Oats,5.8,9.02,1292.9
2009,Oats,5.8,9.14,1207.9
2010,Oats,5.5,7.94,945.9
2011,Oats,5.6,9.61,1162.7
2012,Oats,5.1,8.74,1329.6
2013,Oats,5.5,8.74,1084.0
2014,Oats,6.0,9.88,1291.8
2015,Oats,6.1,9.18,1264.2
2016,Oats,5.8,9.29,1096.0
2017,Oats,5.4,9.53,1118.4
2018,Oats,5.0,9.45,1053.1
2019,Oats,5.9,9.39,1232.0
2020,Oats,4.9,9.62,1333.5
2021,Oats,5.6,9.28,1105.9
2022,Oats,5.7,10.03,1091.7
2023,Oats,5.0,9.97,1323.3
2024,Oats,5.4,9.79,1273.0
2004,Oilseed_Rape,2.9,9.44,1207.3
2005,Oilseed_Rape,3.2,9.41,1079.6
2006,Oilseed_Rape,3.3,9.7,1171.6
2007,Oilseed_Rape,3.1,9.56,1192.5
2008,Oilseed_Rape,3.3,9.02,1292.9
2009,Oilseed_Rape,3.4,9.14,1207.9
2010,Oilseed_Rape,3.5,7.94,945.9
2011,Oilseed_Rape,3.9,9.61,1162.7
2012,Oilseed_Rape,3.4,8.74,1329.6
2013,Oilseed_Rape,3.0,8.74,1084.0
2014,Oilseed_Rape,3.6,9.88,1291.8
2015,Oilseed_Rape,3.9,9.18,1264.2
2016,Oilseed_Rape,3.1,9.29,1096.0
2017,Oilseed_Rape,3.9,9.53,1118.4
2018,Oilseed_Rape,3.4,9.45,1053.1
2019,Oilseed_Rape,3.3,9.39,1232.0
2020,Oilseed_Rape,2.7,9.62,1333.5
2021,Oilseed_Rape,3.2,9.28,1105.9
2022,Oilseed_Rape,3.7,10.03,1091.7
2023,Oilseed_Rape,3.1,9.97,1323.3
2024,Oilseed_Rape,2.8,9.79,1273.0
