Year,Crop,Area_hectares,Yield_t_per_ha,Production_tonnes,Annual_Temp_C,Annual_Rainfall_mm,Annual_Humidity_Percent,Annual_Sunshine_hours,Annual_Frost_days,Total_Nitrogen_kg_ha,Total_Phosphate_kg_ha,Total_Potash_kg_ha
2004,Wheat,1989774,7.8,15467679,9.44,1207.3,81.37,1356.8,46.6,152,41,55
2005,Wheat,1867228,8.0,14863238,9.41,1079.6,80.84,1382.2,53.6,150,40,54
2006,Wheat,1832967,8.0,14734582,9.7,1171.6,80.25,1472.4,51.7,147,35,49
2007,Wheat,1815882,7.2,13136565,9.56,1192.5,81.5,1435.8,39.2,148,34,47
2008,Wheat,2080209,8.3,17227051,9.02,1292.9,81.55,1375.4,57.9,144,31,43
2009,Wheat,1775337,7.9,14075596,9.14,1207.9,82.15,1456.2,56.8,139,23,33
2010,Wheat,1938577,7.7,14877835,7.94,945.9,81.25,1444.7,93.4,145,30,38
2011,Wheat,1969383,7.7,15257083,9.61,1162.7,81.02,1397.9,41.3,146,29,39
2012,Wheat,1991875,6.7,13260627,8.74,1329.6,82.8,1330.7,54.9,144,28,37
2013,Wheat,1614511,7.4,11921304,8.74,1084.0,80.43,1410.9,71.1,137,28,40
2014,Wheat,1935737,8.6,16606009,9.88,1291.8,81.97,1416.5,31.7,146,29,39
2015,Wheat,1832312,9.0,16444229,9.18,1264.2,80.23,1445.3,43.9,146,29,38
2016,Wheat,1823337,7.9,14383276,9.29,1096.0,81.97,1417.4,54.0,142,29,39
2017,Wheat,1791830,8.3,14836963,9.53,1118.4,81.87,1369.8,48.3,138,30,37
2018,Wheat,1747673,7.8,13554843,9.45,1053.1,80.13,1560.7,54.0,142,27,35
2019,Wheat,1815769,8.9,16224511,9.39,1232.0,81.19,1454.4,48.1,137,26,34
2020,Wheat,1387165,7.0,9657885,9.62,1333.5,79.94,1498.3,37.7,121,24,29
2021,Wheat,1790395,7.8,13987677,9.28,1105.9,81.4,1386.2,62.9,130,22,28
2022,Wheat,1813147,8.6,15539652,10.03,1091.7,78.8,1535.3,44.0,118,17,24
2023,Wheat,1719894,8.1,13979848,9.97,1323.3,81.5,1430.1,45.1,125,17,23
2024,Wheat,1530771,7.3,11145741,9.79,1273.0,82.3,1280.7,36.1,121,17,22
2004,Barley,1007449,5.8,5799297,9.44,1207.3,81.37,1356.8,46.6,152,41,55
2005,Barley,937672,5.9,5495024,9.41,1079.6,80.84,1382.2,53.6,150,40,54
2006,Barley,881385,5.9,5239203,9.7,1171.6,80.25,1472.4,51.7,147,35,49
2007,Barley,897897,5.7,5078922,9.56,1192.5,81.5,1435.8,39.2,148,34,47
2008,Barley,1032033,6.0,6143874,9.02,1292.9,81.55,1375.4,57.9,144,31,43
2009,Barley,1142986,5.8,6667795,9.14,1207.9,82.15,1456.2,56.8,139,23,33
2010,Barley,921162,5.7,5251537,7.94,945.9,81.25,1444.7,93.4,145,30,38
2011,Barley,969756,5.7,5493749,9.61,1162.7,81.02,1397.9,41.3,146,29,39
2012,Barley,1002184,5.5,5522439,8.74,1329.6,82.8,1330.7,54.9,144,28,37
2013,Barley,1212997,5.8,7092310,8.74,1084.0,80.43,1410.9,71.1,137,28,40
2014,Barley,1079826,6.4,6910729,9.88,1291.8,81.97,1416.5,31.7,146,29,39
2015,Barley,1100920,6.7,7369827,9.18,1264.2,80.23,1445.3,43.9,146,29,38
2016,Barley,1122409,5.9,6655075,9.29,1096.0,81.97,1417.4,54.0,142,29,39
2017,Barley,1176741,6.1,7168617,9.53,1118.4,81.87,1369.8,48.3,138,30,37
2018,Barley,1138141,5.7,6510013,9.45,1053.1,80.13,1560.7,54.0,142,27,35
2019,Barley,1162226,6.9,8048149,9.39,1232.0,81.19,1454.4,48.1,137,26,34
2020,Barley,1387522,5.9,8117265,9.62,1333.5,79.94,1498.3,37.7,121,24,29
2021,Barley,1149746,6.1,6961273,9.28,1105.9,81.4,1386.2,62.9,130,22,28
2022,Barley,1115836,6.6,7385092,10.03,1091.7,78.8,1535.3,44.0,118,17,24
2023,Barley,1136523,6.1,6963393,9.97,1323.3,81.5,1430.1,45.1,125,17,23
2024,Barley,1193919,5.9,7090832,9.79,1273.0,82.3,1280.7,36.1,121,17,22
2004,Oats,107846,5.8,625937,9.44,1207.3,81.37,1356.8,46.6,152,41,55
2005,Oats,90366,5.8,528500,9.41,1079.6,80.84,1382.2,53.6,150,40,54
2006,Oats,121497,6.0,727763,9.7,1171.6,80.25,1472.4,51.7,147,35,49
2007,Oats,129382,5.5,711696,9.56,1192.5,81.5,1435.8,39.2,148,34,47
2008,Oats,135022,5.8,783574,9.02,1292.9,81.55,1375.4,57.9,144,31,43
2009,Oats,129106,5.8,744417,9.14,1207.9,82.15,1456.2,56.8,139,23,33
2010,Oats,124459,5.5,685310,7.94,945.9,81.25,1444.7,93.4,145,30,38
2011,Oats,108604,5.6,613369,9.61,1162.7,81.02,1397.9,41.3,146,29,39
2012,Oats,121924,5.1,627045,8.74,1329.6,82.8,1330.7,54.9,144,28,37
