Year,Crop,Area_hectares,Yield_t_per_ha,Production_tonnes,Annual_Temp_C,Annual_Rainfall_mm,Annual_Humidity_Percent,Annual_Sunshine_hours,Annual_Frost_days,Total_Nitrogen_kg_ha,Total_Phosphate_kg_ha,Total_Potash_kg_ha,Winter_Tmax,Spring_Tmax,Summer_Tmax,Autumn_Tmax,Winter_Tmin,Spring_Tmin,Summer_Tmin,Autumn_Tmin,Spring_Temp_Mean,Summer_Temp_Mean,Flowering_Temp,Grain_Filling_Temp,Summer_Tmax_Peak,Spring_Tmin_Coldest,Spring_Temp_Range,Summer_Temp_Range,Spring_GDD,Summer_GDD,Winter_Rain,Spring_Rain,Summer_Rain,Autumn_Rain,Planting_Rain,Grain_Filling_Rain,Harvest_Rain,Annual_Rain,Rain_Deviation_from_Optimal,Spring_Rain_Squared,Summer_Rain_Squared,Winter_Sun,Spring_Sun,Summer_Sun,Autumn_Sun,Grain_Filling_Sun,Flowering_Sun,Summer_Sun_per_Rain,Winter_Frost,Spring_Frost,Autumn_Frost,Late_Spring_Frost,Spring_Temp_x_Rain,Summer_Temp_x_Rain,Summer_Temp_x_Sun,Heat_Stress,Cold_Spring,Extreme_Summer_Rain,Drought_Spring,Nitrogen_kg_ha,Phosphorus_kg_ha
2004,Wheat,1989774,7.8,15467679,9.44,1207.3,81.37,1356.8,46.6,152,41,55,7.5,12.433333333333332,18.933333333333337,13.1,1.6666666666666667,4.433333333333334,10.766666666666666,6.733333333333333,8.433333333333334,14.85,16.95,18.4,20.0,2.1,7.999999999999998,8.166666666666668,759.0,1336.5,335.1,213.9,314.7,343.7,162.89999999999998,155.0,229.9,1207.4,27.40000000000009,45753.20999999999,99036.09,174.4,430.1,483.7999999999999,268.6,321.4,365.4,1.5324675324675323,32.7,8.700000000000001,5.1,1.5,1803.89,4673.295,9159.946666666669,0,0,0,0,65.40691860465117,7.054883720930232
2005,Wheat,1867228,8.0,14863238,9.41,1079.6,80.84,1382.2,53.6,150,40,54,7.2,11.966666666666669,19.066666666666663,13.8,1.5666666666666669,4.266666666666667,10.466666666666669,6.8999999999999995,8.116666666666667,14.766666666666666,16.45,18.95,19.4,3.2,7.7,8.6,730.5,1329.0,277.20000000000005,236.3,216.6,349.5,163.60000000000002,131.1,144.9,1079.6,100.40000000000008,55837.69,46915.56,162.1,430.5,510.2000000000001,279.5,328.1,368.6,2.344669117647059,29.0,13.1,11.4,4.7,1917.9683333333337,3198.4599999999996,9727.813333333334,0,0,0,0,62.0459649122807,6.611169590643275
2006,Wheat,1832967,8.0,14734582,9.7,1171.6,80.25,1472.4,51.7,147,35,49,6.933333333333334,11.166666666666666,20.5,14.866666666666667,1.6,3.5666666666666664,11.033333333333331,7.866666666666667,7.366666666666666,15.766666666666666,17.2,21.35,23.3,0.8,7.6,9.466666666666669,663.0,1419.0,296.8,290.2,187.1,397.6,177.6,95.1,145.1,1171.7,8.299999999999955,84216.04,35006.409999999996,154.6,426.0,592.0,299.79999999999995,456.5,382.7,3.147262094630516,28.7,19.2,3.8,5.6,2137.8066666666664,2949.943333333333,12136.0,1,1,0,0,59.00017647058824,6.033823529411765
2007,Wheat,1815882,7.2,13136565,9.56,1192.5,81.5,1435.8,39.2,148,34,47,8.066666666666668,13.366666666666664,18.066666666666663,13.433333333333332,2.1999999999999997,4.766666666666667,10.166666666666666,6.366666666666666,9.066666666666666,14.116666666666667,16.25,17.85,18.5,2.5,8.599999999999998,7.9,816.0,1270.5,376.3,227.9,356.5,231.9,113.8,270.7,220.4,1192.6,12.600000000000136,51938.41,127092.25,162.10000000000002,519.1,470.1,284.5,300.6,314.7,1.314965034965035,26.0,7.1,6.2,1.9,2066.2933333333335,5032.591666666667,8493.14,0,0,1,0,59.295,5.751411764705883
2008,Wheat,2080209,8.3,17227051,9.02,1292.9,81.55,1375.4,57.9,144,31,43,7.666666666666667,12.133333333333336,18.4,12.4,1.1666666666666667,4.066666666666666,10.533333333333331,5.8,8.100000000000001,14.466666666666669,17.05,18.35,19.4,1.7,8.066666666666668,7.866666666666669,729.0,1302.0,358.6,246.5,321.8,366.0,198.8,186.8,243.1,1292.9,112.90000000000008,60762.25,103555.24,193.0,469.0,449.0,264.40000000000003,344.9,379.1,1.3909541511771994,33.5,15.3,9.1,6.9,1996.6500000000003,4655.373333333334,8261.6,0,1,0,0,58.88229411764706,5.520352941176471
2009,Wheat,1775337,7.9,14075596,9.14,1207.9,82.15,1456.2,56.8,139,23,33,5.733333333333334,12.833333333333334,19.0,13.6,0.0,4.366666666666667,10.5,7.0,8.600000000000001,14.75,16.9,18.85,19.3,2.2,8.466666666666667,8.5,774.0,1327.5,279.5,220.6,321.9,386.0,138.9,207.4,260.0,1208.0,28.0,48664.36000000001,103619.61,152.6,506.4,526.2,270.9,371.9,412.9,1.6296066893775163,45.099999999999994,8.700000000000001,3.0,1.9,1897.1600000000003,4748.025,9997.8,0,0,0,0,56.09473372781065,3.331775147928994
2010,Wheat,1938577,7.7,14877835,7.94,945.9,81.25,1444.7,93.4,145,30,38,3.6,12.0,18.96666666666667,12.233333333333334,-2.3000000000000003,3.1999999999999997,10.366666666666664,5.466666666666666,7.6,14.666666666666668,16.75,19.35,19.6,1.3,8.8,8.600000000000003,684.0,1320.0,201.4,165.1,242.9,336.5,126.2,145.4,204.5,945.9,234.1,27258.01,59000.41,160.9,496.1,493.7000000000001,294.0,347.1,407.5,2.0241902419024194,60.6,18.3,14.4,6.9,1254.76,3562.5333333333338,9363.843333333336,0,1,0,1,60.14301775147929,4.752307692307692
2011,Wheat,1969383,7.7,15257083,9.61,1162.7,81.02,1397.9,41.3,146,29,39,7.2,13.566666666666668,17.966666666666665,14.533333333333331,1.6666666666666667,4.766666666666667,9.366666666666664,7.9,9.166666666666668,13.666666666666664,16.2,17.95,18.7,1.8,8.8,8.6,825.0,1230.0,382.7,185.9,265.8,328.4,85.2,160.4,181.1,1162.8,17.200000000000045,34558.810000000005,70649.64,138.9,513.6,470.3,275.1,343.8,364.9,1.762743628185907,29.2,10.1,1.9,1.3,1704.0833333333337,3632.599999999999,8449.723333333333,0,1,0,0,60.83821428571429,4.971547619047619
2012,Wheat,1991875,6.7,13260627,8.74,1329.6,82.8,1330.7,54.9,144,28,37,7.133333333333333,12.433333333333332,17.73333333333333,12.066666666666668,1.3333333333333333,3.966666666666667,10.1,5.2,8.2,13.916666666666664,15.45,16.9,19.4,2.5,8.466666666666665,7.633333333333331,738.0,1252.5,347.9,230.49999999999997,378.8,372.5,164.89999999999998,267.5,229.8,1329.6999999999998,149.69999999999982,53130.249999999985,143489.44,166.0,473.9,400.8,289.9,250.3,312.2,1.0552922590837284,33.2,11.5,9.8,8.4,1890.0999999999997,5271.633333333332,7107.5199999999995,0,0,1,0,59.53547619047619,4.883928571428571
2013,Wheat,1614511,7.4,11921304,8.74,1084.0,80.43,1410.9,71.1,137,28,40,6.666666666666667,9.766666666666667,19.733333333333334,13.1,1.1666666666666667,2.2333333333333334,10.6,6.500000000000001,6.0,15.166666666666668,15.5,19.7,22.2,-0.7,7.533333333333334,9.133333333333336,540.0,1365.0,354.90000000000003,219.1,185.9,324.0,127.3,113.7,137.4,1083.9,96.09999999999992,48004.81000000001,34558.810000000005,152.5,423.2,574.4,260.7,416.8,345.6,3.073301230604601,33.6,29.8,7.800000000000001,10.6,1314.6,2819.4833333333336,11334.826666666666,1,1,0,0,59.82035928143713,5.071377245508982
