Year,Crop,Area_hectares,Yield_t_per_ha,Production_tonnes
2004,Wheat,1989774,7.8,15467679
2005,Wheat,1867228,8.0,14863238
2006,Wheat,1832967,8.0,14734582
2007,Wheat,1815882,7.2,13136565
2008,Wheat,2080209,8.3,17227051
2009,Wheat,1775337,7.9,14075596
2010,Wheat,1938577,7.7,14877835
2011,Wheat,1969383,7.7,15257083
2012,Wheat,1991875,6.7,13260627
2013,Wheat,1614511,7.4,11921304
2014,Wheat,1935737,8.6,16606009
2015,Wheat,1832312,9.0,16444229
2016,Wheat,1823337,7.9,14383276
2017,Wheat,1791830,8.3,14836963
2018,Wheat,1747673,7.8,13554843
2019,Wheat,1815769,8.9,16224511
2020,Wheat,1387165,7.0,9657885
2021,Wheat,1790395,7.8,13987677
2022,Wheat,1813147,8.6,15539652
2023,Wheat,1719894,8.1,13979848
2024,Wheat,1530771,7.3,11145741
2004,Barley,1007449,5.8,5799297
2005,Barley,937672,5.9,5495024
2006,Barley,881385,5.9,5239203
2007,Barley,897897,5.7,5078922
2008,Barley,1032033,6.0,6143874
2009,Barley,1142986,5.8,6667795
2010,Barley,921162,5.7,5251537
2011,Barley,969756,5.7,5493749
2012,Barley,1002184,5.5,5522439
2013,Barley,1212997,5.8,7092310
2014,Barley,1079826,6.4,6910729
2015,Barley,1100920,6.7,7369827
2016,Barley,1122409,5.9,6655075
2017,Barley,1176741,6.1,7168617
2018,Barley,1138141,5.7,6510013
2019,Barley,1162226,6.9,8048149
2020,Barley,1387522,5.9,8117265
2021,Barley,1149746,6.1,6961273
2022,Barley,1115836,6.6,7385092
2023,Barley,1136523,6.1,6963393
2024,Barley,1193919,5.9,7090832
2004,Oats,107846,5.8,625937
2005,Oats,90366,5.8,528500
2006,Oats,121497,6.0,727763
2007,Oats,129382,5.5,711696
2008,Oats,135022,5.8,783574
2009,Oats,129106,5.8,744417
2010,Oats,124459,5.5,685310
2011,Oats,108604,5.6,613369
2012,Oats,121924,5.1,627045
2013,Oats,176541,5.5,963563
2014,Oats,137233,6.0,819985
2015,Oats,131127,6.1,798573
2016,Oats,140896,5.8,815802
2017,Oats,161050,5.4,874778
2018,Oats,171171,5.0,850301
2019,Oats,181518,5.9,1075588
2020,Oats,210009,4.9,1030989
2021,Oats,199584,5.6,1123064
2022,Oats,175535,5.7,1007098
2023,Oats,166539,5.0,829988
2024,Oats,182046,5.4,985510
2004,Oilseed_Rape,553521,2.9,1606834
2005,Oilseed_Rape,594219,3.2,1897723
2006,Oilseed_Rape,575205,3.3,1890093
2007,Oilseed_Rape,681410,3.1,2108121
2008,Oilseed_Rape,598154,3.3,1973028
2009,Oilseed_Rape,569921,3.4,1912196
2010,Oilseed_Rape,641562,3.5,2230148
2011,Oilseed_Rape,704559,3.9,2758302
2012,Oilseed_Rape,755717,3.4,2556643
2013,Oilseed_Rape,715218,3.0,2128142
2014,Oilseed_Rape,674580,3.6,2459576
2015,Oilseed_Rape,652164,3.9,2542454
2016,Oilseed_Rape,579170,3.1,1774712
2017,Oilseed_Rape,562399,3.9,2166644
2018,Oilseed_Rape,583271,3.4,2012144
2019,Oilseed_Rape,529698,3.3,1751828
2020,Oilseed_Rape,379651,2.7,1037719
2021,Oilseed_Rape,307482,3.2,980762
2022,Oilseed_Rape,364801,3.7,1361375
2023,Oilseed_Rape,391158,3.1,1216108
2024,Oilseed_Rape,293231,2.8,834520
2004,Sugar_Beet,154000,58.7,9042000
2005,Sugar_Beet,148000,58.6,8687000
2006,Sugar_Beet,130000,56.9,7400000
2007,Sugar_Beet,125000,53.9,6733000
2008,Sugar_Beet,120000,63.9,7641000
2009,Sugar_Beet,114000,74.0,8457000
2010,Sugar_Beet,122000,53.6,6527000
2011,Sugar_Beet,113000,75.5,8504000
2012,Sugar_Beet,117000,62.1,7291000
2013,Sugar_Beet,121000,69.9,8432000
2014,Sugar_Beet,117000,79.8,9310000
2015,Sugar_Beet,84000,74.1,6218000
2016,Sugar_Beet,80000,71.2,5687000
2017,Sugar_Beet,107000,83.4,8919000
2018,Sugar_Beet,110000,69.1,7600000
2019,Sugar_Beet,100000,77.7,7763000
2020,Sugar_Beet,104000,56.6,5894000
2021,Sugar_Beet,91000,81.1,7364000
2022,Sugar_Beet,87000,63.9,5574000
2023,Sugar_Beet,99000,78.2,7746000
2024,Sugar_Beet,102000,76.3,7817000
