Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
27483,United Kingdom,Potatoes,1990,365161,1220.0,29517.0,9.56
27484,United Kingdom,Potatoes,1990,365161,1220.0,29517.0,10.4
27485,United Kingdom,Potatoes,1990,365161,1220.0,29517.0,10.4
27486,United Kingdom,Potatoes,1990,365161,1220.0,29517.0,8.68
27487,United Kingdom,Potatoes,1990,365161,1220.0,29517.0,10.94
27488,United Kingdom,Wheat,1990,69712,1220.0,29517.0,9.56
27489,United Kingdom,Wheat,1990,69712,1220.0,29517.0,10.4
27490,United Kingdom,Wheat,1990,69712,1220.0,29517.0,10.4
27491,United Kingdom,Wheat,1990,69712,1220.0,29517.0,8.68
27492,United Kingdom,Wheat,1990,69712,1220.0,29517.0,10.94
27493,United Kingdom,Potatoes,1991,354068,1220.0,29022.0,9.11
27494,United Kingdom,Potatoes,1991,354068,1220.0,29022.0,9.24
27495,United Kingdom,Potatoes,1991,354068,1220.0,29022.0,9.24
27496,United Kingdom,Potatoes,1991,354068,1220.0,29022.0,7.99
27497,United Kingdom,Potatoes,1991,354068,1220.0,29022.0,9.67
27498,United Kingdom,Wheat,1991,72519,1220.0,29022.0,9.11
27499,United Kingdom,Wheat,1991,72519,1220.0,29022.0,9.24
27500,United Kingdom,Wheat,1991,72519,1220.0,29022.0,9.24
27501,United Kingdom,Wheat,1991,72519,1220.0,29022.0,7.99
27502,United Kingdom,Wheat,1991,72519,1220.0,29022.0,9.67
27503,United Kingdom,Potatoes,1992,433870,1220.0,31077.0,9.11
27504,United Kingdom,Potatoes,1992,433870,1220.0,31077.0,9.54
27505,United Kingdom,Potatoes,1992,433870,1220.0,31077.0,9.54
27506,United Kingdom,Potatoes,1992,433870,1220.0,31077.0,8.05
27507,United Kingdom,Potatoes,1992,433870,1220.0,31077.0,10.15
27508,United Kingdom,Wheat,1992,68194,1220.0,31077.0,9.11
27509,United Kingdom,Wheat,1992,68194,1220.0,31077.0,9.54
27510,United Kingdom,Wheat,1992,68194,1220.0,31077.0,9.54
27511,United Kingdom,Wheat,1992,68194,1220.0,31077.0,8.05
27512,United Kingdom,Wheat,1992,68194,1220.0,31077.0,10.15
27513,United Kingdom,Potatoes,1993,415790,1220.0,32387.0,8.75
27514,United Kingdom,Potatoes,1993,415790,1220.0,32387.0,9.14
27515,United Kingdom,Potatoes,1993,415790,1220.0,32387.0,9.14
27516,United Kingdom,Potatoes,1993,415790,1220.0,32387.0,7.59
27517,United Kingdom,Potatoes,1993,415790,1220.0,32387.0,9.69
27518,United Kingdom,Wheat,1993,73282,1220.0,32387.0,8.75
27519,United Kingdom,Wheat,1993,73282,1220.0,32387.0,9.14
27520,United Kingdom,Wheat,1993,73282,1220.0,32387.0,9.14
27521,United Kingdom,Wheat,1993,73282,1220.0,32387.0,7.59
27522,United Kingdom,Wheat,1993,73282,1220.0,32387.0,9.69
27523,United Kingdom,Potatoes,1994,399956,1220.0,33929.0,9.01
27524,United Kingdom,Potatoes,1994,399956,1220.0,33929.0,9.86
27525,United Kingdom,Potatoes,1994,399956,1220.0,33929.0,9.86
27526,United Kingdom,Potatoes,1994,399956,1220.0,33929.0,8.07
27527,United Kingdom,Potatoes,1994,399956,1220.0,33929.0,10.48
27528,United Kingdom,Wheat,1994,73520,1220.0,33929.0,9.01
27529,United Kingdom,Wheat,1994,73520,1220.0,33929.0,9.86
27530,United Kingdom,Wheat,1994,73520,1220.0,33929.0,9.86
27531,United Kingdom,Wheat,1994,73520,1220.0,33929.0,8.07
27532,United Kingdom,Wheat,1994,73520,1220.0,33929.0,10.48
27533,United Kingdom,Potatoes,1995,374503,1220.0,33743.0,9.52
27534,United Kingdom,Potatoes,1995,374503,1220.0,33743.0,10.17
27535,United Kingdom,Potatoes,1995,374503,1220.0,33743.0,10.17
27536,United Kingdom,Potatoes,1995,374503,1220.0,33743.0,8.49
27537,United Kingdom,Potatoes,1995,374503,1220.0,33743.0,10.55
27538,United Kingdom,Wheat,1995,76992,1220.0,33743.0,9.52
27539,United Kingdom,Wheat,1995,76992,1220.0,33743.0,10.17
27540,United Kingdom,Wheat,1995,76992,1220.0,33743.0,10.17
27541,United Kingdom,Wheat,1995,76992,1220.0,33743.0,8.49
27542,United Kingdom,Wheat,1995,76992,1220.0,33743.0,10.55
27543,United Kingdom,Potatoes,1996,407441,1220.0,35579.0,8.8
27544,United Kingdom,Potatoes,1996,407441,1220.0,35579.0,8.87
27545,United Kingdom,Potatoes,1996,407441,1220.0,35579.0,8.87
27546,United Kingdom,Potatoes,1996,407441,1220.0,35579.0,7.71
27547,United Kingdom,Potatoes,1996,407441,1220.0,35579.0,9.27
27548,United Kingdom,Wheat,1996,81315,1220.0,35579.0,8.8
27549,United Kingdom,Wheat,1996,81315,1220.0,35579.0,8.87
27550,United Kingdom,Wheat,1996,81315,1220.0,35579.0,8.87
27551,United Kingdom,Wheat,1996,81315,1220.0,35579.0,7.71
27552,United Kingdom,Wheat,1996,81315,1220.0,35579.0,9.27
27553,United Kingdom,Potatoes,1997,429656,1220.0,35490.0,9.94
27554,United Kingdom,Potatoes,1997,429656,1220.0,35490.0,10.17
27555,United Kingdom,Potatoes,1997,429656,1220.0,35490.0,10.17
27556,United Kingdom,Potatoes,1997,429656,1220.0,35490.0,8.87
27557,United Kingdom,Potatoes,1997,429656,1220.0,35490.0,10.64
27558,United Kingdom,Wheat,1997,73776,1220.0,35490.0,9.94
27559,United Kingdom,Wheat,1997,73776,1220.0,35490.0,10.17
27560,United Kingdom,Wheat,1997,73776,1220.0,35490.0,10.17
27561,United Kingdom,Wheat,1997,73776,1220.0,35490.0,8.87
27562,United Kingdom,Wheat,1997,73776,1220.0,35490.0,10.64
27563,United Kingdom,Potatoes,1998,391347,1220.0,35422.0,9.59
27564,United Kingdom,Potatoes,1998,391347,1220.0,35422.0,10.0
27565,United Kingdom,Potatoes,1998,391347,1220.0,35422.0,10.0
27566,United Kingdom,Potatoes,1998,391347,1220.0,35422.0,8.56
27567,United Kingdom,Potatoes,1998,391347,1220.0,35422.0,10.4
27568,United Kingdom,Wheat,1998,75542,1220.0,35422.0,9.59
27569,United Kingdom,Wheat,1998,75542,1220.0,35422.0,10.0
27570,United Kingdom,Wheat,1998,75542,1220.0,35422.0,10.0
27571,United Kingdom,Wheat,1998,75542,1220.0,35422.0,8.56
27572,United Kingdom,Wheat,1998,75542,1220.0,35422.0,10.4
27573,United Kingdom,Potatoes,1999,401515,1220.0,35537.0,9.67
27574,United Kingdom,Potatoes,1999,401515,1220.0,35537.0,10.3
27575,United Kingdom,Potatoes,1999,401515,1220.0,35537.0,10.3
27576,United Kingdom,Potatoes,1999,401515,1220.0,35537.0,8.74
27577,United Kingdom,Potatoes,1999,401515,1220.0,35537.0,10.86
27578,United Kingdom,Wheat,1999,80495,1220.0,35537.0,9.67
27579,United Kingdom,Wheat,1999,80495,1220.0,35537.0,10.3
27580,United Kingdom,Wheat,1999,80495,1220.0,35537.0,10.3
27581,United Kingdom,Wheat,1999,80495,1220.0,35537.0,8.74
27582,United Kingdom,Wheat,1999,80495,1220.0,35537.0,10.86
27583,United Kingdom,Potatoes,2000,399759,1220.0,33031.28,9.47
27584,United Kingdom,Potatoes,2000,399759,1220.0,33031.28,9.97
27585,United Kingdom,Potatoes,2000,399759,1220.0,33031.28,9.97
27586,United Kingdom,Potatoes,2000,399759,1220.0,33031.28,8.48
27587,United Kingdom,Potatoes,2000,399759,1220.0,33031.28,10.52
27588,United Kingdom,Wheat,2000,80075,1220.0,33031.28,9.47
27589,United Kingdom,Wheat,2000,80075,1220.0,33031.28,9.97
27590,United Kingdom,Wheat,2000,80075,1220.0,33031.28,9.97
27591,United Kingdom,Wheat,2000,80075,1220.0,33031.28,8.48
27592,United Kingdom,Wheat,2000,80075,1220.0,33031.28,10.52
27593,United Kingdom,Potatoes,2001,402970,1220.0,32893.1,9.25
27594,United Kingdom,Potatoes,2001,402970,1220.0,32893.1,9.69
27595,United Kingdom,Potatoes,2001,402970,1220.0,32893.1,9.69
27596,United Kingdom,Potatoes,2001,402970,1220.0,32893.1,8.15
27597,United Kingdom,Potatoes,2001,402970,1220.0,32893.1,10.18
27598,United Kingdom,Wheat,2001,70827,1220.0,32893.1,9.25
27599,United Kingdom,Wheat,2001,70827,1220.0,32893.1,9.69
27600,United Kingdom,Wheat,2001,70827,1220.0,32893.1,9.69
27601,United Kingdom,Wheat,2001,70827,1220.0,32893.1,8.15
27602,United Kingdom,Wheat,2001,70827,1220.0,32893.1,10.18
27603,United Kingdom,Potatoes,2002,440886,1220.0,30995.26,9.78
27604,United Kingdom,Potatoes,2002,440886,1220.0,30995.26,10.28
27605,United Kingdom,Potatoes,2002,440886,1220.0,30995.26,10.28
27606,United Kingdom,Potatoes,2002,440886,1220.0,30995.26,8.76
27607,United Kingdom,Potatoes,2002,440886,1220.0,30995.26,10.91
27608,United Kingdom,Wheat,2002,80028,1220.0,30995.26,9.78
27609,United Kingdom,Wheat,2002,80028,1220.0,30995.26,10.28
27610,United Kingdom,Wheat,2002,80028,1220.0,30995.26,10.28
27611,United Kingdom,Wheat,2002,80028,1220.0,30995.26,8.76
27612,United Kingdom,Wheat,2002,80028,1220.0,30995.26,10.91
27613,United Kingdom,Potatoes,2004,424781,1220.0,31223.91,9.86
27614,United Kingdom,Potatoes,2004,424781,1220.0,31223.91,10.27
27615,United Kingdom,Potatoes,2004,424781,1220.0,31223.91,10.27
27616,United Kingdom,Potatoes,2004,424781,1220.0,31223.91,8.92
27617,United Kingdom,Potatoes,2004,424781,1220.0,31223.91,10.77
27618,United Kingdom,Wheat,2004,77754,1220.0,31223.91,9.86
27619,United Kingdom,Wheat,2004,77754,1220.0,31223.91,10.27
27620,United Kingdom,Wheat,2004,77754,1220.0,31223.91,10.27
27621,United Kingdom,Wheat,2004,77754,1220.0,31223.91,8.92
27622,United Kingdom,Wheat,2004,77754,1220.0,31223.91,10.77
27623,United Kingdom,Potatoes,2005,435153,1220.0,31415.27,9.9
27624,United Kingdom,Potatoes,2005,435153,1220.0,31415.27,10.24
27625,United Kingdom,Potatoes,2005,435153,1220.0,31415.27,10.24
27626,United Kingdom,Potatoes,2005,435153,1220.0,31415.27,8.85
27627,United Kingdom,Potatoes,2005,435153,1220.0,31415.27,10.63
27628,United Kingdom,Wheat,2005,79609,1220.0,31415.27,9.9
27629,United Kingdom,Wheat,2005,79609,1220.0,31415.27,10.24
27630,United Kingdom,Wheat,2005,79609,1220.0,31415.27,10.24
27631,United Kingdom,Wheat,2005,79609,1220.0,31415.27,8.85
27632,United Kingdom,Wheat,2005,79609,1220.0,31415.27,10.63
27633,United Kingdom,Potatoes,2006,415887,1220.0,22588.09,10.02
27634,United Kingdom,Potatoes,2006,415887,1220.0,22588.09,10.58
27635,United Kingdom,Potatoes,2006,415887,1220.0,22588.09,10.58
27636,United Kingdom,Potatoes,2006,415887,1220.0,22588.09,9.1
