Year,Crop,Area_hectares,Yield_t_per_ha,Production_tonnes
2004,Potato,148000,42,6246000
2005,Potato,137000,44,5979000
2006,Potato,140000,41,5727000
2007,Potato,140000,40,5564000
2008,Potato,144000,43,6132000
2009,Potato,144000,44,6396000
2010,Potato,138000,44,6056000
2011,Potato,146000,43,6310000
2012,Potato,149000,31,4658000
2013,Potato,139000,42,5902000
2014,Potato,141000,42,5911000
2015,Potato,129000,44,5676000
2016,Potato,139000,39,5421000
2017,Potato,145000,43,6235000
2018,Potato,140000,36,5040000
2019,Potato,144000,37,5328000
2020,Potato,142400,39,5553600
2021,Potato,137000,37,5069000
2022,Potato,127000,40,5080000
2023,Potato,115000,41,4715000
2024,Potato,118000,46,5428000
