Year,Crop,Yield_t_per_ha
2004,Wheat,7.8
2005,Wheat,8.0
2006,Wheat,8.0
2007,Wheat,7.2
2008,Wheat,8.3
2009,Wheat,7.9
2010,Wheat,7.7
2011,Wheat,7.7
2012,Wheat,6.7
2013,Wheat,7.4
2014,Wheat,8.6
2015,Wheat,9.0
2016,Wheat,7.9
2017,Wheat,8.3
2018,Wheat,7.8
2019,Wheat,8.9
2020,Wheat,7.0
2021,Wheat,7.8
2022,Wheat,8.6
2023,Wheat,8.1
2024,Wheat,7.3
2004,Barley,5.8
2005,Barley,5.9
2006,Barley,5.9
2007,Barley,5.7
2008,Barley,6.0
2009,Barley,5.8
2010,Barley,5.7
2011,Barley,5.7
2012,Barley,5.5
2013,Barley,5.8
2014,Barley,6.4
2015,Barley,6.7
2016,Barley,5.9
2017,Barley,6.1
2018,Barley,5.7
2019,Barley,6.9
2020,Barley,5.9
2021,Barley,6.1
2022,Barley,6.6
2023,Barley,6.1
2024,Barley,5.9
2004,Oats,5.8
2005,Oats,5.8
2006,Oats,6.0
2007,Oats,5.5
2008,Oats,5.8
2009,Oats,5.8
2010,Oats,5.5
2011,Oats,5.6
2012,Oats,5.1
2013,Oats,5.5
2014,Oats,6.0
2015,Oats,6.1
2016,Oats,5.8
2017,Oats,5.4
2018,Oats,5.0
2019,Oats,5.9
2020,Oats,4.9
2021,Oats,5.6
2022,Oats,5.7
2023,Oats,5.0
2024,Oats,5.4
2004,Oilseed_Rape,2.9
2005,Oilseed_Rape,3.2
2006,Oilseed_Rape,3.3
2007,Oilseed_Rape,3.1
2008,Oilseed_Rape,3.3
2009,Oilseed_Rape,3.4
2010,Oilseed_Rape,3.5
2011,Oilseed_Rape,3.9
2012,Oilseed_Rape,3.4
2013,Oilseed_Rape,3.0
2014,Oilseed_Rape,3.6
2015,Oilseed_Rape,3.9
2016,Oilseed_Rape,3.1
2017,Oilseed_Rape,3.9
2018,Oilseed_Rape,3.4
2019,Oilseed_Rape,3.3
2020,Oilseed_Rape,2.7
2021,Oilseed_Rape,3.2
2022,Oilseed_Rape,3.7
2023,Oilseed_Rape,3.1
2024,Oilseed_Rape,2.8
