Year (1),Wheat,Barley,Oats,Rye,Mixed Corn,Triticale,Oilseed Rape
2003,7.8,5.9,6.2,5.8,4.3,4.1,3.3
2004,7.8,5.8,5.8,5.7,4.3,4.1,2.9
2005,8.0,5.9,5.8,6.7,4.4,4.2,3.2
2006,8.0,5.9,6.0,6.1,4.5,4.3,3.3
2007,7.2,5.7,5.5,5.7,3.9,3.9,3.1
2008,8.3,6.0,5.8,6.1,4.4,4.4,3.3
2009,7.9,5.8,5.8,6.6,4.1,4.1,3.4
2010,7.7,5.7,5.5,6.3,4.1,4.0,3.5
2011,7.7,5.7,5.6,5.4,3.9,4.1,3.9
2012,6.7,5.5,5.1,5.2,4.2,3.5,3.4
2013,7.4,5.8,5.5,5.6,4.2,3.9,3.0
2014,8.6,6.4,6.0,5.7,4.7,4.6,3.6
2015,9.0,6.7,6.1,2.6,5.0,4.8,3.9
2016,7.9,5.9,5.8,1.9,[x],[x],3.1
2017,8.3,6.1,5.4,[x],[x],[x],3.9
2018,7.8,5.7,5.0,[x],[x],[x],3.4
2019,8.9,6.9,5.9,[x],[x],[x],3.3
2020,7.0,5.9,4.9,[x],[x],[x],2.7
2021,7.8,6.1,5.6,[x],[x],[x],3.2
2022 (2),8.6,6.6,5.7,[x],[x],[x],3.7
2023,8.1,6.1,5.0,[x],[x],[x],3.1
2024,7.3,5.9,5.4,[x],[x],[x],2.8
2025,[x],[x],[x],[x],[x],[x],[x]
